Episode,Total Reward
0,47.0
1,31.0
2,35.0
3,24.0
4,15.0
5,11.0
6,13.0
7,21.0
8,17.0
9,20.0
10,12.0
11,14.0
12,27.0
13,65.0
14,20.0
15,11.0
16,12.0
17,22.0
18,14.0
19,30.0
20,21.0
21,15.0
22,17.0
23,17.0
24,16.0
25,11.0
26,32.0
27,31.0
28,51.0
29,38.0
30,15.0
31,35.0
32,24.0
33,31.0
34,12.0
35,11.0
36,17.0
37,16.0
38,26.0
39,39.0
40,37.0
41,43.0
42,37.0
43,15.0
44,15.0
45,17.0
46,19.0
47,24.0
48,22.0
49,32.0
50,15.0
51,13.0
52,15.0
53,16.0
54,11.0
55,10.0
56,13.0
57,71.0
58,31.0
59,41.0
60,27.0
61,33.0
62,14.0
63,34.0
64,13.0
65,29.0
66,22.0
67,16.0
68,28.0
69,32.0
70,16.0
71,40.0
72,48.0
73,42.0
74,37.0
75,13.0
76,39.0
77,60.0
78,17.0
79,21.0
80,17.0
81,18.0
82,25.0
83,10.0
84,15.0
85,13.0
86,37.0
87,10.0
88,12.0
89,25.0
90,25.0
91,22.0
92,28.0
93,20.0
94,12.0
95,17.0
96,12.0
97,16.0
98,20.0
99,15.0
100,13.0
101,30.0
102,12.0
103,56.0
104,26.0
105,33.0
106,47.0
107,14.0
108,26.0
109,21.0
110,14.0
111,33.0
112,39.0
113,11.0
114,37.0
115,16.0
116,12.0
117,16.0
118,13.0
119,24.0
120,16.0
121,115.0
122,18.0
123,21.0
124,36.0
125,13.0
126,18.0
127,12.0
128,34.0
129,17.0
130,28.0
131,19.0
132,29.0
133,19.0
134,15.0
135,19.0
136,35.0
137,44.0
138,14.0
139,30.0
140,50.0
141,17.0
142,21.0
143,15.0
144,51.0
145,24.0
146,19.0
147,15.0
148,54.0
149,38.0
150,23.0
151,24.0
152,20.0
153,19.0
154,55.0
155,59.0
156,35.0
157,42.0
158,83.0
159,36.0
160,13.0
161,48.0
162,24.0
163,26.0
164,22.0
165,14.0
166,21.0
167,11.0
168,16.0
169,32.0
170,30.0
171,43.0
172,37.0
173,17.0
174,36.0
175,11.0
176,28.0
177,12.0
178,12.0
179,52.0
180,13.0
181,10.0
182,27.0
