Episode,Total Reward
0,18.0
1,15.0
2,33.0
3,33.0
4,41.0
5,12.0
6,31.0
7,12.0
8,18.0
9,13.0
10,28.0
11,13.0
12,15.0
13,31.0
14,18.0
15,24.0
16,42.0
17,30.0
18,28.0
19,34.0
20,17.0
21,23.0
22,49.0
23,12.0
24,22.0
25,18.0
26,22.0
27,18.0
28,22.0
29,11.0
30,29.0
31,22.0
32,62.0
33,21.0
34,52.0
35,21.0
36,14.0
37,46.0
38,25.0
39,29.0
40,15.0
41,20.0
42,68.0
43,24.0
44,16.0
45,18.0
46,29.0
47,13.0
48,10.0
49,21.0
50,11.0
51,63.0
52,32.0
53,24.0
54,23.0
55,35.0
56,20.0
57,10.0
58,23.0
59,30.0
60,17.0
61,13.0
62,26.0
63,22.0
64,19.0
65,47.0
66,25.0
67,18.0
68,19.0
69,10.0
70,39.0
71,39.0
72,16.0
73,15.0
74,17.0
75,16.0
76,14.0
77,18.0
78,22.0
79,18.0
80,49.0
81,15.0
82,16.0
83,34.0
84,36.0
85,12.0
86,49.0
87,24.0
88,16.0
89,22.0
90,17.0
91,25.0
92,24.0
93,30.0
94,29.0
95,13.0
96,19.0
97,18.0
98,20.0
99,21.0
100,21.0
101,21.0
102,16.0
103,28.0
104,22.0
105,16.0
106,13.0
107,11.0
108,21.0
109,14.0
110,30.0
111,17.0
112,22.0
113,15.0
114,11.0
115,15.0
116,14.0
117,39.0
118,59.0
119,12.0
120,15.0
121,65.0
122,54.0
123,14.0
124,12.0
125,13.0
126,24.0
127,19.0
128,55.0
129,25.0
130,45.0
131,15.0
132,21.0
133,19.0
134,48.0
135,14.0
136,44.0
137,24.0
138,14.0
139,78.0
140,49.0
141,106.0
142,16.0
143,28.0
144,16.0
145,47.0
146,11.0
147,49.0
148,39.0
149,11.0
150,20.0
151,12.0
152,43.0
153,15.0
154,17.0
155,41.0
156,21.0
157,22.0
158,35.0
159,24.0
160,23.0
161,33.0
162,22.0
163,29.0
164,35.0
165,63.0
166,26.0
167,12.0
168,30.0
169,16.0
170,33.0
171,58.0
172,47.0
173,45.0
174,37.0
175,72.0
176,22.0
177,12.0
178,34.0
179,14.0
180,23.0
181,16.0
182,27.0
183,85.0
184,45.0
185,26.0
186,13.0
187,13.0
188,24.0
189,39.0
190,27.0
191,20.0
192,18.0
193,15.0
194,24.0
195,69.0
196,50.0
197,25.0
198,12.0
199,48.0
200,83.0
201,20.0
202,46.0
203,15.0
204,29.0
205,34.0
206,76.0
207,19.0
208,16.0
209,31.0
210,15.0
211,20.0
212,48.0
213,13.0
214,33.0
215,19.0
216,16.0
217,12.0
218,183.0
219,13.0
220,44.0
221,61.0
222,52.0
223,25.0
224,13.0
225,46.0
226,33.0
227,80.0
228,20.0
229,37.0
230,28.0
231,65.0
232,17.0
233,30.0
234,58.0
235,76.0
236,74.0
237,28.0
238,26.0
239,26.0
240,19.0
241,33.0
242,37.0
243,21.0
244,14.0
245,137.0
246,56.0
247,33.0
248,26.0
249,17.0
250,65.0
251,27.0
252,27.0
253,27.0
254,78.0
255,19.0
256,87.0
257,44.0
258,39.0
259,25.0
260,16.0
261,28.0
262,42.0
263,33.0
264,81.0
265,20.0
266,19.0
267,95.0
268,13.0
269,45.0
270,24.0
271,87.0
272,23.0
273,115.0
274,17.0
275,42.0
276,22.0
277,22.0
278,46.0
279,15.0
280,26.0
281,17.0
282,13.0
283,51.0
284,87.0
285,119.0
286,13.0
287,48.0
288,23.0
289,44.0
290,68.0
291,26.0
292,53.0
293,29.0
294,32.0
295,13.0
296,47.0
297,20.0
298,13.0
299,28.0
300,20.0
301,77.0
302,45.0
