Episode,Total Reward
0,34.0
1,41.0
2,37.0
3,18.0
4,57.0
5,18.0
6,21.0
7,32.0
8,49.0
9,24.0
10,23.0
11,15.0
12,15.0
13,12.0
14,22.0
15,40.0
16,13.0
17,16.0
18,21.0
19,17.0
20,24.0
21,24.0
22,28.0
23,17.0
24,13.0
25,23.0
26,31.0
27,14.0
28,18.0
29,32.0
30,14.0
31,17.0
32,22.0
33,17.0
34,15.0
35,19.0
36,38.0
37,25.0
38,35.0
39,47.0
40,21.0
41,19.0
42,24.0
43,11.0
44,24.0
45,9.0
46,38.0
47,19.0
48,16.0
49,18.0
50,13.0
51,10.0
52,20.0
53,30.0
54,13.0
55,10.0
56,12.0
57,18.0
58,29.0
59,26.0
60,17.0
61,18.0
62,14.0
63,16.0
64,37.0
65,22.0
66,31.0
67,19.0
68,24.0
69,30.0
70,21.0
71,37.0
72,19.0
73,22.0
74,15.0
75,18.0
76,28.0
77,18.0
78,25.0
79,15.0
80,46.0
81,23.0
82,22.0
83,13.0
84,17.0
85,18.0
86,23.0
87,18.0
88,13.0
89,35.0
90,14.0
91,19.0
92,14.0
93,34.0
94,17.0
95,16.0
96,34.0
97,31.0
98,30.0
99,12.0
100,17.0
101,47.0
102,23.0
103,19.0
104,17.0
105,42.0
106,23.0
107,39.0
108,19.0
109,40.0
110,24.0
111,11.0
112,10.0
113,15.0
114,11.0
115,22.0
116,16.0
117,46.0
118,83.0
119,16.0
120,22.0
121,16.0
122,19.0
123,14.0
124,34.0
125,24.0
126,18.0
127,41.0
128,25.0
129,13.0
130,14.0
131,30.0
132,8.0
133,45.0
134,20.0
135,21.0
136,9.0
137,13.0
138,75.0
139,44.0
140,46.0
141,30.0
142,26.0
143,20.0
144,14.0
145,45.0
146,23.0
147,15.0
148,21.0
149,20.0
150,12.0
151,16.0
152,28.0
153,21.0
154,40.0
155,49.0
156,41.0
157,16.0
158,34.0
159,19.0
160,18.0
161,32.0
162,73.0
163,20.0
164,61.0
165,38.0
166,10.0
167,13.0
168,26.0
169,22.0
170,46.0
171,10.0
172,18.0
173,23.0
174,38.0
175,22.0
176,23.0
177,20.0
178,35.0
179,14.0
180,33.0
181,36.0
182,11.0
183,46.0
184,10.0
185,19.0
186,41.0
187,33.0
188,19.0
189,20.0
190,23.0
191,22.0
192,20.0
193,21.0
194,28.0
195,33.0
196,14.0
197,37.0
198,17.0
199,32.0
200,17.0
201,15.0
202,19.0
203,12.0
204,10.0
205,14.0
206,28.0
207,24.0
208,15.0
209,17.0
210,42.0
211,13.0
212,55.0
213,13.0
214,13.0
215,33.0
216,29.0
217,13.0
218,26.0
219,25.0
220,26.0
221,15.0
222,12.0
223,16.0
224,26.0
225,36.0
226,47.0
227,22.0
228,49.0
229,47.0
230,15.0
231,28.0
232,30.0
233,25.0
234,18.0
235,22.0
236,13.0
237,45.0
238,54.0
239,12.0
240,17.0
241,10.0
242,18.0
243,33.0
244,75.0
245,28.0
246,35.0
247,12.0
248,28.0
249,32.0
250,44.0
251,16.0
252,35.0
253,30.0
254,46.0
255,31.0
256,50.0
257,21.0
258,40.0
259,14.0
260,19.0
261,17.0
262,42.0
263,16.0
264,10.0
265,52.0
266,26.0
267,25.0
268,15.0
269,11.0
270,15.0
271,68.0
272,15.0
273,19.0
274,14.0
275,28.0
276,29.0
277,13.0
278,49.0
279,45.0
280,19.0
281,58.0
282,13.0
283,10.0
284,59.0
285,20.0
286,11.0
287,51.0
288,48.0
289,45.0
290,38.0
291,15.0
292,22.0
293,16.0
294,23.0
295,32.0
296,17.0
297,10.0
298,38.0
299,11.0
300,11.0
301,22.0
302,18.0
303,34.0
304,35.0
305,34.0
306,11.0
307,18.0
308,52.0
309,36.0
310,58.0
311,58.0
312,13.0
313,39.0
314,45.0
315,32.0
316,24.0
317,34.0
318,13.0
319,17.0
320,52.0
321,37.0
322,29.0
323,28.0
324,94.0
325,12.0
326,16.0
327,55.0
328,21.0
329,19.0
330,57.0
331,38.0
332,18.0
333,55.0
334,20.0
335,37.0
336,24.0
337,47.0
338,36.0
339,26.0
340,17.0
341,35.0
342,32.0
343,42.0
344,31.0
345,27.0
346,30.0
347,16.0
348,30.0
349,27.0
350,23.0
351,47.0
352,29.0
353,22.0
354,12.0
355,70.0
356,35.0
357,38.0
358,52.0
359,31.0
360,34.0
361,17.0
362,11.0
363,20.0
364,20.0
365,17.0
366,22.0
367,31.0
368,29.0
369,20.0
370,23.0
371,52.0
372,15.0
373,27.0
374,29.0
375,17.0
376,11.0
377,15.0
378,11.0
379,17.0
380,18.0
381,18.0
382,18.0
383,18.0
384,26.0
385,13.0
386,28.0
387,43.0
388,30.0
389,100.0
390,18.0
391,29.0
392,45.0
393,61.0
394,16.0
395,21.0
396,37.0
397,28.0
398,45.0
399,32.0
400,29.0
401,46.0
402,39.0
403,22.0
404,18.0
405,29.0
406,15.0
407,45.0
408,73.0
409,16.0
410,16.0
411,18.0
412,86.0
413,15.0
414,14.0
415,49.0
416,22.0
417,51.0
418,21.0
419,62.0
420,17.0
421,46.0
422,20.0
423,31.0
424,15.0
425,40.0
426,39.0
427,17.0
428,48.0
429,28.0
430,52.0
431,23.0
432,26.0
433,13.0
434,12.0
435,51.0
436,26.0
437,15.0
438,71.0
439,57.0
440,82.0
441,29.0
442,15.0
443,39.0
444,15.0
445,12.0
446,16.0
447,32.0
448,29.0
449,43.0
450,16.0
451,49.0
452,17.0
453,15.0
454,15.0
455,36.0
456,20.0
457,52.0
458,44.0
459,15.0
460,36.0
461,47.0
462,10.0
463,25.0
464,116.0
465,12.0
466,20.0
467,28.0
468,24.0
469,19.0
470,23.0
471,84.0
472,76.0
473,57.0
474,16.0
475,34.0
476,17.0
477,22.0
478,29.0
479,21.0
480,47.0
481,20.0
482,13.0
483,39.0
484,45.0
485,137.0
486,33.0
487,45.0
488,36.0
489,37.0
490,20.0
491,39.0
492,19.0
493,17.0
494,109.0
495,33.0
496,26.0
497,28.0
498,37.0
499,39.0
500,14.0
501,51.0
502,70.0
503,14.0
504,25.0
505,86.0
506,30.0
507,40.0
508,72.0
509,17.0
510,15.0
511,21.0
512,75.0
513,18.0
514,52.0
515,25.0
516,19.0
517,73.0
518,14.0
519,39.0
520,103.0
521,14.0
522,14.0
523,41.0
524,38.0
525,88.0
526,47.0
527,11.0
528,11.0
529,72.0
530,51.0
531,65.0
532,19.0
533,46.0
534,38.0
535,22.0
536,28.0
537,25.0
538,31.0
539,35.0
540,27.0
541,31.0
542,23.0
543,20.0
544,38.0
545,11.0
546,29.0
547,22.0
548,35.0
549,27.0
550,27.0
551,21.0
552,99.0
553,21.0
554,69.0
555,15.0
556,41.0
557,11.0
558,191.0
559,52.0
560,27.0
561,29.0
562,17.0
563,32.0
564,20.0
565,22.0
566,21.0
567,33.0
568,29.0
569,36.0
570,24.0
571,35.0
572,83.0
573,36.0
574,23.0
575,44.0
576,74.0
577,40.0
578,14.0
579,49.0
580,31.0
581,24.0
582,14.0
583,16.0
584,39.0
585,47.0
586,44.0
587,25.0
588,33.0
589,23.0
590,98.0
591,78.0
592,17.0
593,40.0
594,52.0
595,14.0
596,48.0
