Episode,Total Reward
0,9.0
1,49.0
2,19.0
3,28.0
4,45.0
5,19.0
6,17.0
7,15.0
8,13.0
9,16.0
10,21.0
11,18.0
12,16.0
13,16.0
14,20.0
15,13.0
16,14.0
17,14.0
18,32.0
19,62.0
20,10.0
21,26.0
22,13.0
23,21.0
24,17.0
25,15.0
26,9.0
27,10.0
28,13.0
29,18.0
30,10.0
31,21.0
32,22.0
33,18.0
34,36.0
35,24.0
36,12.0
37,16.0
38,19.0
39,21.0
40,16.0
41,14.0
42,12.0
43,10.0
44,16.0
45,11.0
46,14.0
47,48.0
48,25.0
49,22.0
50,17.0
51,29.0
52,25.0
53,10.0
54,11.0
55,13.0
56,16.0
57,20.0
58,39.0
59,17.0
60,21.0
61,12.0
62,23.0
63,33.0
64,38.0
65,9.0
66,15.0
67,51.0
68,16.0
69,30.0
70,25.0
71,12.0
72,26.0
73,56.0
74,19.0
75,13.0
76,23.0
77,15.0
78,18.0
79,13.0
80,9.0
81,12.0
82,10.0
83,21.0
84,11.0
85,34.0
86,17.0
87,23.0
88,10.0
89,22.0
90,15.0
91,26.0
92,15.0
93,92.0
94,34.0
95,32.0
96,22.0
97,44.0
98,11.0
99,21.0
100,11.0
101,13.0
102,14.0
103,9.0
104,23.0
105,54.0
106,39.0
107,64.0
108,14.0
109,38.0
110,13.0
111,19.0
112,10.0
113,25.0
114,50.0
115,10.0
116,24.0
117,20.0
118,12.0
119,38.0
120,12.0
121,16.0
122,13.0
123,42.0
124,15.0
125,32.0
126,26.0
127,47.0
128,15.0
129,48.0
130,20.0
131,90.0
132,12.0
133,35.0
134,9.0
135,43.0
136,15.0
137,39.0
138,42.0
139,32.0
140,40.0
141,49.0
142,87.0
143,10.0
144,17.0
145,24.0
146,30.0
147,29.0
148,12.0
149,48.0
150,24.0
151,61.0
152,37.0
153,13.0
154,15.0
155,32.0
156,25.0
157,23.0
158,18.0
159,20.0
160,24.0
161,18.0
162,25.0
163,22.0
164,55.0
165,14.0
166,43.0
167,13.0
168,26.0
169,28.0
170,59.0
171,28.0
172,11.0
173,15.0
174,50.0
175,21.0
176,18.0
177,20.0
178,24.0
179,64.0
180,30.0
181,14.0
182,29.0
183,65.0
184,28.0
185,25.0
186,19.0
187,17.0
188,24.0
189,26.0
190,19.0
191,28.0
192,32.0
193,11.0
194,40.0
195,14.0
196,16.0
197,27.0
198,11.0
199,22.0
200,12.0
201,11.0
202,30.0
203,31.0
204,18.0
205,39.0
206,33.0
207,22.0
208,22.0
209,17.0
210,16.0
211,19.0
212,20.0
213,48.0
214,13.0
215,39.0
216,19.0
217,27.0
218,20.0
219,12.0
220,35.0
221,23.0
222,75.0
223,55.0
224,61.0
225,45.0
226,43.0
227,24.0
228,13.0
229,15.0
230,20.0
231,79.0
232,12.0
233,16.0
234,25.0
235,13.0
236,16.0
237,12.0
238,25.0
239,39.0
240,12.0
241,32.0
242,20.0
243,60.0
244,19.0
245,33.0
246,30.0
247,13.0
248,59.0
249,24.0
250,23.0
251,21.0
252,20.0
253,28.0
254,49.0
255,19.0
256,33.0
257,33.0
258,21.0
259,39.0
260,38.0
261,34.0
262,20.0
263,32.0
264,52.0
265,13.0
266,106.0
267,9.0
268,17.0
269,32.0
270,13.0
271,18.0
272,15.0
273,33.0
274,48.0
275,12.0
276,10.0
277,13.0
278,20.0
279,15.0
280,21.0
281,10.0
282,19.0
283,10.0
284,27.0
285,65.0
286,28.0
287,20.0
288,22.0
289,36.0
290,54.0
291,10.0
292,11.0
293,9.0
294,58.0
295,24.0
296,15.0
297,11.0
298,16.0
299,19.0
300,22.0
301,30.0
302,22.0
303,23.0
304,59.0
305,42.0
306,35.0
307,39.0
308,42.0
309,37.0
310,9.0
311,106.0
312,15.0
313,33.0
314,28.0
315,16.0
316,29.0
317,72.0
318,86.0
319,23.0
320,32.0
321,17.0
322,36.0
323,52.0
324,16.0
325,15.0
326,21.0
327,29.0
328,14.0
329,22.0
330,34.0
331,54.0
332,11.0
333,17.0
334,31.0
335,32.0
336,31.0
337,19.0
338,12.0
339,31.0
340,13.0
341,64.0
342,21.0
343,27.0
344,27.0
345,10.0
346,28.0
347,14.0
348,18.0
349,29.0
350,12.0
351,10.0
352,35.0
353,47.0
354,18.0
355,24.0
356,14.0
357,13.0
358,21.0
359,52.0
360,43.0
361,18.0
362,24.0
363,74.0
364,34.0
365,19.0
366,28.0
367,30.0
368,51.0
369,10.0
370,21.0
371,39.0
372,28.0
373,40.0
374,20.0
375,13.0
376,72.0
377,19.0
378,14.0
379,14.0
380,14.0
381,15.0
382,58.0
383,12.0
384,30.0
385,20.0
386,33.0
387,41.0
388,26.0
389,19.0
390,20.0
391,20.0
392,22.0
393,21.0
394,15.0
395,28.0
396,18.0
397,54.0
398,13.0
399,21.0
400,16.0
401,12.0
402,29.0
403,11.0
404,17.0
405,13.0
406,14.0
407,24.0
408,20.0
409,12.0
410,46.0
411,21.0
412,58.0
413,19.0
414,17.0
415,47.0
416,14.0
417,14.0
418,21.0
419,13.0
420,21.0
421,12.0
422,25.0
423,22.0
424,13.0
425,21.0
426,37.0
427,62.0
428,31.0
429,24.0
430,10.0
431,24.0
432,14.0
433,16.0
434,13.0
435,16.0
