Episode,Total Reward
0,30.0
1,57.0
2,16.0
3,16.0
4,13.0
5,14.0
6,36.0
7,26.0
8,12.0
9,37.0
10,18.0
11,16.0
12,40.0
13,27.0
14,20.0
15,23.0
16,28.0
17,12.0
18,32.0
19,13.0
20,34.0
21,29.0
22,14.0
23,12.0
24,12.0
25,16.0
26,37.0
27,14.0
28,20.0
29,14.0
30,32.0
31,13.0
32,16.0
33,12.0
34,34.0
35,17.0
36,23.0
37,14.0
38,41.0
39,17.0
40,35.0
41,31.0
42,26.0
43,22.0
44,13.0
45,21.0
46,28.0
47,9.0
48,26.0
49,21.0
50,54.0
51,36.0
52,65.0
53,97.0
54,75.0
55,14.0
56,19.0
57,57.0
58,47.0
59,32.0
60,54.0
61,110.0
62,36.0
63,15.0
64,121.0
65,23.0
66,62.0
67,41.0
68,22.0
69,46.0
70,20.0
71,110.0
72,20.0
73,51.0
74,51.0
75,14.0
76,44.0
77,22.0
78,48.0
79,45.0
80,26.0
81,35.0
82,114.0
83,128.0
84,26.0
85,152.0
86,23.0
87,84.0
88,38.0
89,18.0
90,23.0
91,142.0
92,61.0
93,75.0
94,60.0
95,29.0
96,49.0
97,69.0
98,27.0
99,39.0
100,48.0
101,237.0
102,49.0
103,25.0
104,66.0
105,192.0
106,53.0
107,101.0
108,173.0
109,122.0
110,65.0
111,109.0
112,90.0
113,12.0
114,91.0
115,83.0
116,97.0
117,33.0
118,74.0
119,19.0
120,110.0
121,35.0
122,51.0
123,41.0
124,60.0
125,44.0
126,21.0
127,16.0
128,29.0
129,192.0
130,154.0
131,330.0
132,25.0
133,224.0
134,126.0
135,233.0
136,55.0
137,40.0
138,53.0
139,216.0
140,104.0
141,32.0
142,35.0
143,92.0
144,84.0
145,176.0
146,324.0
147,226.0
148,162.0
149,170.0
150,256.0
151,301.0
152,184.0
153,226.0
154,149.0
155,500.0
156,129.0
157,112.0
158,249.0
159,500.0
160,224.0
161,47.0
162,476.0
163,309.0
164,232.0
165,130.0
166,129.0
167,45.0
168,90.0
169,306.0
170,92.0
171,54.0
172,276.0
173,91.0
174,206.0
175,155.0
176,16.0
177,137.0
178,309.0
179,119.0
180,218.0
181,179.0
182,160.0
183,192.0
184,116.0
185,219.0
186,23.0
187,184.0
188,224.0
189,16.0
190,21.0
191,206.0
192,210.0
193,122.0
194,168.0
195,148.0
196,89.0
197,135.0
198,135.0
199,35.0
200,149.0
201,212.0
202,315.0
203,96.0
204,209.0
205,18.0
206,213.0
207,93.0
208,13.0
209,237.0
210,191.0
211,97.0
212,138.0
213,216.0
214,201.0
215,210.0
216,14.0
217,35.0
218,10.0
219,107.0
220,162.0
221,147.0
222,163.0
223,17.0
224,49.0
225,152.0
226,17.0
227,267.0
228,54.0
229,29.0
230,152.0
231,55.0
232,37.0
233,152.0
234,174.0
235,75.0
236,120.0
237,186.0
238,134.0
239,240.0
240,108.0
241,39.0
242,127.0
243,152.0
244,141.0
245,107.0
246,18.0
247,190.0
248,247.0
249,198.0
250,182.0
251,242.0
252,54.0
253,238.0
254,128.0
255,11.0
256,244.0
257,66.0
258,74.0
259,202.0
260,211.0
261,132.0
262,35.0
263,51.0
264,142.0
265,338.0
266,161.0
267,34.0
268,192.0
269,252.0
270,151.0
271,157.0
272,111.0
273,131.0
274,91.0
275,122.0
276,121.0
277,154.0
278,125.0
279,124.0
280,52.0
281,161.0
282,48.0
283,145.0
284,137.0
285,118.0
286,128.0
287,136.0
288,130.0
289,28.0
290,194.0
291,129.0
292,160.0
293,231.0
294,169.0
295,75.0
296,303.0
297,141.0
298,145.0
299,226.0
300,246.0
301,162.0
302,186.0
303,276.0
304,75.0
305,78.0
306,413.0
307,357.0
308,19.0
309,26.0
310,148.0
311,146.0
312,209.0
313,126.0
314,144.0
315,204.0
316,123.0
317,226.0
318,199.0
319,159.0
320,166.0
321,134.0
322,138.0
323,12.0
324,140.0
325,124.0
326,123.0
327,119.0
328,120.0
329,126.0
330,115.0
331,113.0
332,102.0
333,122.0
334,117.0
335,111.0
336,140.0
337,127.0
338,55.0
339,132.0
340,108.0
341,36.0
342,36.0
343,124.0
344,117.0
345,99.0
346,107.0
347,122.0
348,143.0
349,118.0
350,156.0
351,151.0
352,155.0
353,164.0
354,128.0
355,127.0
356,135.0
357,115.0
358,116.0
359,161.0
360,127.0
361,124.0
362,106.0
363,123.0
364,14.0
365,132.0
366,173.0
367,127.0
368,151.0
369,20.0
370,163.0
371,146.0
372,94.0
373,109.0
374,127.0
375,163.0
376,171.0
377,209.0
378,120.0
379,122.0
380,174.0
381,58.0
382,291.0
383,39.0
384,292.0
385,60.0
386,168.0
387,128.0
388,114.0
389,15.0
390,196.0
391,32.0
392,61.0
393,31.0
394,230.0
395,230.0
396,184.0
397,93.0
398,155.0
399,47.0
400,32.0
401,500.0
402,37.0
403,134.0
404,25.0
405,34.0
406,20.0
407,23.0
408,45.0
409,23.0
410,27.0
411,40.0
412,64.0
413,25.0
414,75.0
415,382.0
416,65.0
417,34.0
418,25.0
419,118.0
420,116.0
421,448.0
422,179.0
423,13.0
424,225.0
425,28.0
426,174.0
427,10.0
428,267.0
429,29.0
430,100.0
431,138.0
432,383.0
433,500.0
434,500.0
435,167.0
436,500.0
437,225.0
438,500.0
439,500.0
440,247.0
441,500.0
442,500.0
443,15.0
444,442.0
445,207.0
446,500.0
447,444.0
448,357.0
449,500.0
450,203.0
451,500.0
452,192.0
453,436.0
454,322.0
455,438.0
456,332.0
457,500.0
458,500.0
459,338.0
460,500.0
461,253.0
462,202.0
463,254.0
464,150.0
465,225.0
466,306.0
467,196.0
468,181.0
469,200.0
470,166.0
471,254.0
472,170.0
473,210.0
474,174.0
475,293.0
476,453.0
477,276.0
478,296.0
479,258.0
480,185.0
481,261.0
482,236.0
483,201.0
484,178.0
485,202.0
486,203.0
487,139.0
488,152.0
489,225.0
490,25.0
491,15.0
492,134.0
493,222.0
494,160.0
495,272.0
496,116.0
497,161.0
498,201.0
499,60.0
500,150.0
501,22.0
502,74.0
503,89.0
504,193.0
505,73.0
506,213.0
507,171.0
508,188.0
509,227.0
510,241.0
511,202.0
512,154.0
513,159.0
514,189.0
515,165.0
516,193.0
517,139.0
518,182.0
519,143.0
520,193.0
521,125.0
522,200.0
523,163.0
524,135.0
525,145.0
526,171.0
527,15.0
528,105.0
529,138.0
530,184.0
531,119.0
532,103.0
533,139.0
534,115.0
535,129.0
536,131.0
537,143.0
538,136.0
539,115.0
540,115.0
541,116.0
542,183.0
543,175.0
544,138.0
545,135.0
546,120.0
547,237.0
548,176.0
549,131.0
550,124.0
551,150.0
552,190.0
553,406.0
554,196.0
555,385.0
556,379.0
557,396.0
558,342.0
559,270.0
560,500.0
561,355.0
562,210.0
563,185.0
564,185.0
565,26.0
566,159.0
567,203.0
568,269.0
569,160.0
570,115.0
571,54.0
572,106.0
573,127.0
574,111.0
575,105.0
576,107.0
577,72.0
578,60.0
579,111.0
580,103.0
581,122.0
582,155.0
583,156.0
584,125.0
585,113.0
586,110.0
587,111.0
588,110.0
589,112.0
590,114.0
591,125.0
592,189.0
593,151.0
594,281.0
595,234.0
596,320.0
597,149.0
598,166.0
599,197.0
600,192.0
601,102.0
602,125.0
603,109.0
604,100.0
605,117.0
606,124.0
607,102.0
608,115.0
609,31.0
610,122.0
611,118.0
612,160.0
613,120.0
614,50.0
615,185.0
616,130.0
617,177.0
618,135.0
619,138.0
620,148.0
621,150.0
622,157.0
623,134.0
624,170.0
625,115.0
626,142.0
627,126.0
628,17.0
629,83.0
630,191.0
631,129.0
632,135.0
633,219.0
634,208.0
635,122.0
636,111.0
637,233.0
638,55.0
639,57.0
640,221.0
641,84.0
642,143.0
643,164.0
644,142.0
645,126.0
646,143.0
647,135.0
648,132.0
649,180.0
650,133.0
651,185.0
652,177.0
653,368.0
654,105.0
655,200.0
656,116.0
657,152.0
658,150.0
659,185.0
660,161.0
661,178.0
662,131.0
663,122.0
664,199.0
665,87.0
666,184.0
667,131.0
668,134.0
669,204.0
670,157.0
671,113.0
672,103.0
673,143.0
674,110.0
675,121.0
676,136.0
677,97.0
678,170.0
679,103.0
680,102.0
681,153.0
682,249.0
683,389.0
684,236.0
685,154.0
686,225.0
687,191.0
688,139.0
689,128.0
690,417.0
691,118.0
692,153.0
693,174.0
694,97.0
695,82.0
696,36.0
697,163.0
698,85.0
699,74.0
700,103.0
701,62.0
702,100.0
703,106.0
704,92.0
705,89.0
706,100.0
707,96.0
708,128.0
709,137.0
710,153.0
711,81.0
712,134.0
713,82.0
714,156.0
715,114.0
716,143.0
717,113.0
718,122.0
719,109.0
720,128.0
721,147.0
722,144.0
723,500.0
724,99.0
725,117.0
726,122.0
727,430.0
728,125.0
729,124.0
730,115.0
731,130.0
732,259.0
733,165.0
734,190.0
735,207.0
736,154.0
737,223.0
738,119.0
739,140.0
740,40.0
741,173.0
742,240.0
743,172.0
744,52.0
745,288.0
746,128.0
747,177.0
748,87.0
749,115.0
750,15.0
751,104.0
752,131.0
753,229.0
754,24.0
755,215.0
756,197.0
757,183.0
758,140.0
759,262.0
760,65.0
761,234.0
762,339.0
763,162.0
764,163.0
765,236.0
766,272.0
767,134.0
768,267.0
769,137.0
770,20.0
771,121.0
772,104.0
773,112.0
774,117.0
775,103.0
776,113.0
777,126.0
778,104.0
779,133.0
780,131.0
781,107.0
782,109.0
783,112.0
784,108.0
785,118.0
786,138.0
787,106.0
788,209.0
789,206.0
790,158.0
791,101.0
792,102.0
793,102.0
794,67.0
795,136.0
796,99.0
797,91.0
798,106.0
799,132.0
800,108.0
801,65.0
802,121.0
803,111.0
804,96.0
805,120.0
806,119.0
807,112.0
808,115.0
809,112.0
810,109.0
811,150.0
812,160.0
813,125.0
814,102.0
815,112.0
816,128.0
817,160.0
818,189.0
819,116.0
820,118.0
821,116.0
822,97.0
823,122.0
824,118.0
825,136.0
826,100.0
827,109.0
828,110.0
829,116.0
830,115.0
831,106.0
832,103.0
833,108.0
834,121.0
835,25.0
836,100.0
837,104.0
838,104.0
839,95.0
840,111.0
841,98.0
842,106.0
843,34.0
844,112.0
845,105.0
846,96.0
847,103.0
848,111.0
849,98.0
850,105.0
851,111.0
852,109.0
853,109.0
854,105.0
855,125.0
856,119.0
857,107.0
858,98.0
859,102.0
860,100.0
861,120.0
862,136.0
863,169.0
864,188.0
865,121.0
866,129.0
867,147.0
868,179.0
869,226.0
870,118.0
871,82.0
872,146.0
873,182.0
874,197.0
875,190.0
876,300.0
877,127.0
878,127.0
879,116.0
880,122.0
881,217.0
882,165.0
883,262.0
884,134.0
885,172.0
886,131.0
887,108.0
888,163.0
889,225.0
890,200.0
891,95.0
892,160.0
893,139.0
894,153.0
895,163.0
896,108.0
897,128.0
898,133.0
899,101.0
900,161.0
901,148.0
902,278.0
903,119.0
904,196.0
905,327.0
906,144.0
907,206.0
908,163.0
909,159.0
910,169.0
911,155.0
912,122.0
913,116.0
914,124.0
915,82.0
916,25.0
917,107.0
918,137.0
919,87.0
920,125.0
921,143.0
922,151.0
923,151.0
924,177.0
925,141.0
926,197.0
927,50.0
928,188.0
929,147.0
930,132.0
931,383.0
932,140.0
933,379.0
934,285.0
935,174.0
936,113.0
937,296.0
938,149.0
939,136.0
940,219.0
941,186.0
942,116.0
943,153.0
944,129.0
945,117.0
946,131.0
947,116.0
948,113.0
949,137.0
950,118.0
951,130.0
952,105.0
953,124.0
954,198.0
955,207.0
956,134.0
957,246.0
958,105.0
959,174.0
960,449.0
961,168.0
962,194.0
963,189.0
964,135.0
965,265.0
966,141.0
967,173.0
968,146.0
969,141.0
970,123.0
971,144.0
972,110.0
973,154.0
974,105.0
975,103.0
976,103.0
977,98.0
978,92.0
979,31.0
980,114.0
981,24.0
982,60.0
983,36.0
984,127.0
985,99.0
986,109.0
987,72.0
988,80.0
989,106.0
990,65.0
991,141.0
992,290.0
993,162.0
994,111.0
995,133.0
996,120.0
997,144.0
998,230.0
999,164.0
1000,123.0
1001,21.0
1002,140.0
1003,100.0
1004,174.0
1005,109.0
1006,70.0
1007,103.0
1008,137.0
1009,116.0
1010,114.0
1011,236.0
1012,137.0
1013,145.0
1014,141.0
1015,185.0
1016,139.0
1017,122.0
1018,128.0
1019,188.0
1020,132.0
1021,12.0
1022,127.0
1023,182.0
1024,135.0
1025,171.0
1026,139.0
1027,123.0
1028,434.0
1029,381.0
1030,165.0
1031,147.0
1032,163.0
1033,160.0
1034,177.0
1035,126.0
1036,130.0
1037,134.0
1038,132.0
1039,180.0
1040,158.0
1041,500.0
1042,121.0
1043,156.0
1044,454.0
1045,176.0
1046,135.0
1047,229.0
1048,160.0
1049,215.0
1050,500.0
1051,145.0
1052,201.0
1053,500.0
1054,139.0
1055,222.0
1056,241.0
1057,152.0
1058,134.0
1059,126.0
1060,205.0
1061,500.0
1062,244.0
1063,500.0
1064,379.0
1065,500.0
1066,451.0
1067,306.0
1068,500.0
1069,500.0
1070,500.0
1071,500.0
1072,500.0
1073,500.0
1074,34.0
1075,500.0
1076,95.0
1077,55.0
1078,102.0
1079,500.0
1080,500.0
1081,18.0
1082,104.0
1083,183.0
1084,500.0
1085,500.0
1086,500.0
1087,500.0
1088,500.0
1089,301.0
1090,500.0
1091,176.0
1092,500.0
1093,500.0
1094,500.0
1095,500.0
1096,500.0
1097,500.0
1098,500.0
1099,500.0
1100,500.0
1101,500.0
1102,500.0
1103,500.0
1104,500.0
1105,500.0
1106,500.0
1107,500.0
1108,500.0
1109,500.0
1110,500.0
1111,500.0
1112,500.0
1113,500.0
1114,500.0
1115,500.0
1116,500.0
1117,500.0
1118,500.0
1119,500.0
1120,500.0
1121,500.0
1122,157.0
1123,71.0
1124,25.0
1125,40.0
1126,42.0
1127,22.0
1128,41.0
1129,23.0
1130,41.0
1131,58.0
1132,19.0
1133,12.0
1134,12.0
1135,16.0
1136,30.0
1137,46.0
1138,21.0
1139,35.0
1140,89.0
1141,42.0
1142,47.0
1143,27.0
1144,28.0
1145,35.0
1146,53.0
1147,49.0
1148,32.0
1149,87.0
1150,75.0
1151,253.0
1152,500.0
1153,500.0
1154,500.0
1155,500.0
1156,500.0
1157,500.0
1158,500.0
1159,500.0
1160,500.0
1161,500.0
1162,500.0
1163,500.0
1164,500.0
1165,500.0
1166,500.0
1167,500.0
1168,500.0
1169,500.0
1170,500.0
1171,500.0
1172,500.0
1173,500.0
1174,500.0
1175,500.0
1176,500.0
1177,500.0
1178,500.0
1179,500.0
1180,500.0
1181,500.0
1182,500.0
1183,500.0
1184,500.0
1185,500.0
1186,500.0
1187,500.0
1188,500.0
1189,500.0
1190,500.0
1191,500.0
1192,500.0
1193,500.0
1194,500.0
1195,500.0
1196,500.0
1197,500.0
1198,500.0
1199,500.0
1200,500.0
1201,500.0
1202,344.0
1203,401.0
1204,384.0
1205,310.0
1206,426.0
1207,295.0
1208,308.0
1209,265.0
1210,310.0
1211,493.0
1212,49.0
1213,104.0
1214,16.0
1215,21.0
1216,91.0
1217,64.0
1218,53.0
1219,43.0
1220,35.0
1221,172.0
1222,143.0
1223,207.0
1224,157.0
1225,180.0
1226,195.0
1227,150.0
1228,135.0
1229,20.0
1230,149.0
1231,253.0
1232,196.0
1233,500.0
1234,500.0
1235,500.0
1236,318.0
1237,500.0
1238,500.0
1239,418.0
1240,481.0
1241,145.0
1242,172.0
1243,250.0
1244,297.0
1245,191.0
1246,14.0
1247,274.0
1248,197.0
1249,170.0
1250,272.0
1251,156.0
1252,13.0
1253,179.0
1254,138.0
1255,171.0
1256,176.0
1257,178.0
1258,161.0
1259,165.0
1260,159.0
1261,231.0
1262,231.0
1263,282.0
1264,237.0
1265,251.0
1266,261.0
1267,243.0
1268,308.0
1269,500.0
1270,188.0
1271,500.0
1272,207.0
1273,500.0
1274,157.0
1275,14.0
1276,179.0
1277,210.0
1278,242.0
1279,197.0
1280,180.0
1281,381.0
1282,500.0
1283,238.0
1284,228.0
1285,206.0
1286,202.0
1287,288.0
1288,143.0
