Episode,Total Reward
0,14.0
1,34.0
2,10.0
3,52.0
4,17.0
5,12.0
6,12.0
7,22.0
8,25.0
9,11.0
10,22.0
11,16.0
12,18.0
13,22.0
14,18.0
15,42.0
16,22.0
17,20.0
18,33.0
19,36.0
20,16.0
21,22.0
22,11.0
23,29.0
24,15.0
25,10.0
26,14.0
27,24.0
28,13.0
29,39.0
30,12.0
31,18.0
32,18.0
33,18.0
34,22.0
35,30.0
36,13.0
37,42.0
38,28.0
39,12.0
40,11.0
41,31.0
42,18.0
43,12.0
44,18.0
45,12.0
46,10.0
47,21.0
48,10.0
49,53.0
50,24.0
51,16.0
52,16.0
53,23.0
54,16.0
55,14.0
56,14.0
57,16.0
58,29.0
59,13.0
60,31.0
61,17.0
62,44.0
63,16.0
64,36.0
65,16.0
66,58.0
67,19.0
68,26.0
69,10.0
70,10.0
71,12.0
72,27.0
73,38.0
74,14.0
75,20.0
76,20.0
77,31.0
78,28.0
79,35.0
80,31.0
81,54.0
82,15.0
83,31.0
84,11.0
85,51.0
86,51.0
87,16.0
88,21.0
89,27.0
90,10.0
91,17.0
92,20.0
93,13.0
94,36.0
95,9.0
96,22.0
97,22.0
98,13.0
99,23.0
100,36.0
101,14.0
102,27.0
103,13.0
104,14.0
105,25.0
106,19.0
107,21.0
108,18.0
109,19.0
110,59.0
111,10.0
112,29.0
113,59.0
114,42.0
115,11.0
116,39.0
117,16.0
118,76.0
119,67.0
120,22.0
121,18.0
122,18.0
123,17.0
124,12.0
125,17.0
126,30.0
127,26.0
128,30.0
129,11.0
130,24.0
131,36.0
132,16.0
133,24.0
134,18.0
135,20.0
136,22.0
137,15.0
138,17.0
139,19.0
140,34.0
141,22.0
142,27.0
143,17.0
144,42.0
145,14.0
146,17.0
147,15.0
148,19.0
149,29.0
150,14.0
151,26.0
152,13.0
153,30.0
154,10.0
155,13.0
156,56.0
157,47.0
158,38.0
159,21.0
160,11.0
161,29.0
162,54.0
163,34.0
164,15.0
165,19.0
166,17.0
167,11.0
168,25.0
169,16.0
170,13.0
171,42.0
172,24.0
173,15.0
174,48.0
175,19.0
176,15.0
177,15.0
178,88.0
179,12.0
180,16.0
181,17.0
182,26.0
183,66.0
184,20.0
185,25.0
186,25.0
187,25.0
188,23.0
189,13.0
190,33.0
191,35.0
192,38.0
193,30.0
194,52.0
195,22.0
196,81.0
197,17.0
198,12.0
199,44.0
200,20.0
201,13.0
202,26.0
203,15.0
204,22.0
205,14.0
206,20.0
207,17.0
208,8.0
209,32.0
210,21.0
211,18.0
212,11.0
213,23.0
214,26.0
215,26.0
216,25.0
217,25.0
218,17.0
219,12.0
220,44.0
221,64.0
222,16.0
223,41.0
224,21.0
225,31.0
226,25.0
227,19.0
228,50.0
229,56.0
230,19.0
231,17.0
232,23.0
233,44.0
234,13.0
235,14.0
236,66.0
237,35.0
238,13.0
239,12.0
240,16.0
241,10.0
242,33.0
243,20.0
244,19.0
245,26.0
246,23.0
247,74.0
248,45.0
249,39.0
250,29.0
251,16.0
252,31.0
253,33.0
254,22.0
255,26.0
256,10.0
257,11.0
258,18.0
259,30.0
260,18.0
261,28.0
262,29.0
263,19.0
264,16.0
265,15.0
266,18.0
267,48.0
268,24.0
269,15.0
270,86.0
271,20.0
272,15.0
273,45.0
274,11.0
275,17.0
276,95.0
277,23.0
278,22.0
279,12.0
280,18.0
281,21.0
282,31.0
283,28.0
284,129.0
285,43.0
286,25.0
287,18.0
288,24.0
289,31.0
290,18.0
291,20.0
292,11.0
293,30.0
294,14.0
295,14.0
296,27.0
297,10.0
298,47.0
299,14.0
300,38.0
301,19.0
302,35.0
303,46.0
304,13.0
305,14.0
306,15.0
307,13.0
308,23.0
309,36.0
310,13.0
311,39.0
312,21.0
313,13.0
314,23.0
315,43.0
316,24.0
317,15.0
318,11.0
319,11.0
320,10.0
321,43.0
322,44.0
323,13.0
324,29.0
325,16.0
326,22.0
327,36.0
328,85.0
329,97.0
330,18.0
331,26.0
332,92.0
333,14.0
334,45.0
335,24.0
336,19.0
337,102.0
338,45.0
339,25.0
340,25.0
341,52.0
342,27.0
343,29.0
344,79.0
345,13.0
346,22.0
347,32.0
348,15.0
349,20.0
350,31.0
351,21.0
352,31.0
353,20.0
354,10.0
355,13.0
356,16.0
357,39.0
358,55.0
359,41.0
360,20.0
361,22.0
362,81.0
363,14.0
364,17.0
365,65.0
366,27.0
367,27.0
368,37.0
369,61.0
370,34.0
371,31.0
372,45.0
373,54.0
374,28.0
375,39.0
376,96.0
377,46.0
378,41.0
379,21.0
380,33.0
381,12.0
382,73.0
383,13.0
384,19.0
385,24.0
386,17.0
387,56.0
388,29.0
389,18.0
390,83.0
391,23.0
392,56.0
393,13.0
394,47.0
395,49.0
396,10.0
397,30.0
398,46.0
399,22.0
400,16.0
401,16.0
402,66.0
403,51.0
404,14.0
405,22.0
406,62.0
407,78.0
408,40.0
409,23.0
410,72.0
411,26.0
412,11.0
413,27.0
414,13.0
415,29.0
416,33.0
417,11.0
418,19.0
419,21.0
420,35.0
421,35.0
422,14.0
423,12.0
424,11.0
425,94.0
426,16.0
427,33.0
428,21.0
429,19.0
430,39.0
431,49.0
432,64.0
433,18.0
434,10.0
435,12.0
436,21.0
437,38.0
438,9.0
439,13.0
440,16.0
441,63.0
442,29.0
443,14.0
444,93.0
445,53.0
446,19.0
447,28.0
448,14.0
449,14.0
450,18.0
451,32.0
452,24.0
453,34.0
454,44.0
455,58.0
456,11.0
457,24.0
458,14.0
459,21.0
460,20.0
461,21.0
462,39.0
463,12.0
464,15.0
465,26.0
466,15.0
467,57.0
468,41.0
469,34.0
470,44.0
471,27.0
472,46.0
473,27.0
474,18.0
475,40.0
476,18.0
477,17.0
478,89.0
479,14.0
480,16.0
481,18.0
482,35.0
483,13.0
484,17.0
485,21.0
486,23.0
487,61.0
488,43.0
489,12.0
490,22.0
491,83.0
492,29.0
493,18.0
494,25.0
495,13.0
496,22.0
497,31.0
498,65.0
499,39.0
500,15.0
501,53.0
502,117.0
503,89.0
504,39.0
505,26.0
506,19.0
507,40.0
508,53.0
509,16.0
510,36.0
511,25.0
512,116.0
513,19.0
514,24.0
515,17.0
516,16.0
517,18.0
518,61.0
519,105.0
520,18.0
521,20.0
522,19.0
523,51.0
524,35.0
525,45.0
526,23.0
527,22.0
528,84.0
529,17.0
530,64.0
531,29.0
532,125.0
533,32.0
534,14.0
535,17.0
536,22.0
537,11.0
538,11.0
539,10.0
540,34.0
541,25.0
542,25.0
543,17.0
544,37.0
545,36.0
546,20.0
547,24.0
548,12.0
549,25.0
550,13.0
551,29.0
552,56.0
553,72.0
554,23.0
555,34.0
556,18.0
557,28.0
558,19.0
559,14.0
560,29.0
561,19.0
562,78.0
563,46.0
564,76.0
565,27.0
566,35.0
567,74.0
568,16.0
569,56.0
570,45.0
571,26.0
572,55.0
573,12.0
574,23.0
575,18.0
576,58.0
577,24.0
578,22.0
579,33.0
580,199.0
581,20.0
582,17.0
583,39.0
584,63.0
585,26.0
586,61.0
587,47.0
588,17.0
589,27.0
590,33.0
591,27.0
592,79.0
593,20.0
594,41.0
595,99.0
596,90.0
597,45.0
598,62.0
599,20.0
600,128.0
601,19.0
602,19.0
603,26.0
604,18.0
605,12.0
606,34.0
607,9.0
608,29.0
609,57.0
610,42.0
611,51.0
612,32.0
613,51.0
614,62.0
615,30.0
616,11.0
617,26.0
618,15.0
619,16.0
620,62.0
621,17.0
622,22.0
623,59.0
624,28.0
625,43.0
626,27.0
627,76.0
628,16.0
629,36.0
630,54.0
631,39.0
632,13.0
633,47.0
634,62.0
635,33.0
636,64.0
637,62.0
638,15.0
639,30.0
640,86.0
641,90.0
642,15.0
643,107.0
644,11.0
645,53.0
646,14.0
647,174.0
648,135.0
649,44.0
