Episode,Total Reward
0,69.0
1,17.0
2,12.0
3,15.0
4,20.0
5,11.0
6,15.0
7,118.0
8,16.0
9,16.0
10,18.0
11,11.0
12,19.0
13,36.0
14,12.0
15,16.0
16,19.0
17,28.0
18,21.0
19,14.0
20,25.0
21,35.0
22,12.0
23,19.0
24,53.0
25,13.0
26,14.0
27,13.0
28,61.0
29,17.0
30,17.0
31,39.0
32,14.0
33,18.0
34,14.0
35,27.0
36,17.0
37,36.0
38,17.0
39,57.0
40,12.0
41,13.0
42,41.0
43,9.0
44,48.0
45,13.0
46,24.0
47,19.0
48,18.0
49,43.0
50,13.0
51,35.0
52,18.0
53,46.0
54,17.0
55,19.0
56,28.0
57,30.0
58,22.0
59,26.0
60,50.0
61,45.0
62,22.0
63,42.0
64,25.0
65,37.0
66,14.0
67,35.0
68,22.0
69,20.0
70,18.0
71,43.0
72,9.0
73,8.0
74,32.0
75,18.0
76,15.0
77,32.0
78,19.0
79,17.0
80,30.0
81,52.0
82,27.0
83,20.0
84,41.0
85,13.0
86,17.0
87,18.0
88,11.0
89,47.0
90,35.0
91,17.0
92,20.0
93,22.0
94,19.0
95,19.0
96,22.0
97,23.0
98,19.0
99,16.0
100,13.0
101,18.0
102,18.0
103,16.0
104,16.0
105,10.0
106,24.0
107,32.0
108,28.0
109,23.0
110,24.0
111,18.0
112,30.0
113,52.0
114,19.0
115,16.0
116,16.0
117,13.0
118,21.0
119,14.0
120,58.0
121,21.0
122,31.0
123,19.0
124,53.0
125,31.0
126,10.0
127,20.0
128,34.0
129,35.0
130,61.0
131,53.0
132,28.0
133,18.0
134,25.0
135,16.0
136,19.0
137,16.0
138,14.0
139,12.0
140,35.0
141,20.0
142,44.0
143,18.0
144,14.0
145,65.0
146,14.0
147,20.0
148,16.0
149,41.0
150,14.0
151,15.0
152,23.0
153,54.0
154,22.0
155,24.0
156,27.0
157,9.0
158,145.0
159,34.0
160,16.0
161,20.0
162,15.0
163,40.0
164,22.0
165,24.0
166,19.0
167,14.0
168,25.0
169,19.0
170,11.0
171,13.0
172,26.0
173,21.0
174,19.0
175,40.0
176,28.0
177,17.0
178,32.0
179,16.0
180,58.0
181,15.0
182,12.0
183,19.0
184,14.0
185,45.0
186,18.0
187,32.0
188,23.0
189,15.0
190,21.0
191,10.0
192,14.0
193,19.0
194,15.0
195,13.0
196,42.0
197,62.0
198,20.0
199,33.0
