Episode,Total Reward
0,18.0
1,11.0
2,30.0
3,23.0
4,35.0
5,23.0
6,13.0
7,47.0
8,18.0
9,59.0
10,14.0
11,39.0
12,54.0
13,11.0
14,22.0
15,17.0
16,20.0
17,23.0
18,11.0
19,20.0
20,13.0
21,15.0
22,26.0
23,17.0
24,11.0
25,20.0
26,15.0
27,12.0
28,22.0
29,14.0
30,21.0
31,15.0
32,27.0
33,93.0
34,14.0
35,16.0
36,28.0
37,12.0
38,12.0
39,30.0
40,28.0
41,70.0
42,51.0
43,9.0
44,19.0
45,10.0
46,14.0
47,69.0
48,25.0
49,12.0
50,17.0
51,29.0
52,78.0
53,21.0
54,35.0
55,20.0
56,23.0
57,65.0
58,18.0
59,22.0
60,52.0
61,45.0
62,25.0
63,32.0
64,42.0
65,23.0
66,43.0
67,38.0
68,22.0
69,34.0
70,36.0
71,13.0
72,15.0
73,16.0
74,38.0
75,18.0
76,11.0
77,91.0
78,37.0
79,21.0
80,30.0
81,21.0
82,10.0
83,17.0
84,32.0
85,21.0
86,16.0
87,13.0
88,18.0
89,11.0
90,28.0
91,36.0
92,14.0
93,13.0
94,19.0
95,12.0
96,37.0
97,15.0
98,15.0
99,25.0
100,10.0
101,16.0
102,21.0
103,16.0
104,32.0
105,19.0
106,36.0
107,11.0
108,17.0
109,23.0
110,17.0
111,31.0
112,23.0
113,59.0
114,15.0
115,11.0
116,24.0
117,14.0
118,21.0
119,16.0
120,16.0
121,11.0
122,18.0
123,22.0
124,34.0
125,17.0
126,48.0
127,29.0
128,11.0
129,20.0
130,26.0
131,22.0
132,30.0
133,36.0
134,32.0
135,25.0
136,61.0
137,11.0
138,21.0
139,37.0
140,13.0
141,19.0
142,46.0
143,12.0
144,12.0
145,15.0
146,46.0
147,29.0
148,10.0
149,57.0
150,25.0
151,11.0
152,21.0
153,19.0
154,21.0
155,9.0
156,13.0
157,17.0
158,19.0
159,13.0
160,33.0
161,19.0
162,41.0
163,13.0
164,28.0
165,22.0
166,14.0
167,11.0
168,45.0
169,33.0
170,13.0
171,19.0
172,15.0
173,18.0
174,66.0
175,14.0
176,24.0
177,66.0
178,20.0
179,61.0
180,21.0
181,10.0
182,21.0
183,36.0
184,15.0
185,26.0
186,20.0
187,33.0
188,11.0
189,33.0
190,30.0
191,41.0
192,11.0
193,15.0
194,17.0
195,26.0
196,12.0
197,28.0
198,15.0
199,35.0
200,11.0
201,48.0
202,35.0
203,69.0
204,24.0
205,24.0
206,24.0
207,28.0
208,14.0
209,59.0
210,23.0
211,26.0
212,13.0
213,56.0
214,22.0
215,27.0
216,23.0
217,20.0
218,52.0
219,10.0
220,15.0
221,15.0
222,36.0
223,13.0
224,24.0
225,18.0
226,21.0
227,28.0
228,12.0
229,30.0
230,24.0
231,23.0
232,51.0
233,14.0
234,20.0
235,17.0
236,15.0
237,30.0
238,23.0
239,18.0
240,43.0
241,15.0
242,27.0
243,9.0
244,10.0
245,37.0
246,20.0
247,40.0
248,18.0
249,31.0
250,16.0
251,17.0
252,51.0
253,15.0
254,14.0
255,25.0
256,21.0
257,47.0
258,10.0
259,59.0
260,47.0
261,67.0
262,25.0
263,32.0
264,12.0
265,28.0
266,27.0
267,68.0
268,41.0
269,39.0
270,11.0
271,14.0
272,18.0
273,23.0
274,22.0
275,17.0
276,15.0
277,126.0
278,33.0
279,12.0
280,17.0
281,25.0
282,66.0
283,12.0
284,47.0
285,23.0
286,42.0
287,31.0
288,41.0
289,42.0
290,25.0
291,73.0
292,50.0
293,21.0
294,16.0
295,32.0
296,44.0
