Episode,Total Reward
0,19.0
1,16.0
2,11.0
3,13.0
4,38.0
5,45.0
6,32.0
7,12.0
8,25.0
9,11.0
10,18.0
11,33.0
12,50.0
13,11.0
14,26.0
15,17.0
16,26.0
17,17.0
18,25.0
19,21.0
20,14.0
21,30.0
22,58.0
23,24.0
24,13.0
25,37.0
26,41.0
27,15.0
28,29.0
29,41.0
30,16.0
31,16.0
32,19.0
33,11.0
34,13.0
35,67.0
36,30.0
37,76.0
38,18.0
39,26.0
40,15.0
41,28.0
42,24.0
43,17.0
44,13.0
45,11.0
46,16.0
47,48.0
48,13.0
49,26.0
50,26.0
51,25.0
52,27.0
53,31.0
54,23.0
55,48.0
56,20.0
57,15.0
58,55.0
59,22.0
60,24.0
61,24.0
62,21.0
63,13.0
64,16.0
65,15.0
66,41.0
67,25.0
68,34.0
69,73.0
70,63.0
71,21.0
72,37.0
73,10.0
74,13.0
75,16.0
76,11.0
77,38.0
78,19.0
79,24.0
80,15.0
81,17.0
82,17.0
83,18.0
84,37.0
85,50.0
86,24.0
87,30.0
88,17.0
89,31.0
90,36.0
91,20.0
92,19.0
93,17.0
94,52.0
95,55.0
96,17.0
97,25.0
98,21.0
99,15.0
100,32.0
101,11.0
102,20.0
103,23.0
104,29.0
105,27.0
106,24.0
107,17.0
108,17.0
109,27.0
110,20.0
111,18.0
112,26.0
113,47.0
114,26.0
115,52.0
116,27.0
117,10.0
118,11.0
119,30.0
120,18.0
121,19.0
122,31.0
123,41.0
124,11.0
125,51.0
126,24.0
127,11.0
128,20.0
129,39.0
130,18.0
131,18.0
132,21.0
133,16.0
134,20.0
135,22.0
136,15.0
137,14.0
138,69.0
139,21.0
140,40.0
141,15.0
142,40.0
143,27.0
144,52.0
145,17.0
146,15.0
147,11.0
148,24.0
149,15.0
150,23.0
151,27.0
152,19.0
153,22.0
154,11.0
155,14.0
156,39.0
157,13.0
158,24.0
159,16.0
160,18.0
161,22.0
162,22.0
163,26.0
164,36.0
165,21.0
166,14.0
167,13.0
168,20.0
169,45.0
170,23.0
171,32.0
172,15.0
173,19.0
174,37.0
175,19.0
176,47.0
177,15.0
178,43.0
179,24.0
180,13.0
181,8.0
182,40.0
183,17.0
184,49.0
185,31.0
186,26.0
187,19.0
188,16.0
189,30.0
190,16.0
191,17.0
192,27.0
193,13.0
194,52.0
195,68.0
196,26.0
197,15.0
198,11.0
199,21.0
200,25.0
201,32.0
202,40.0
203,23.0
204,61.0
205,28.0
206,26.0
207,27.0
208,19.0
209,18.0
210,20.0
211,29.0
212,22.0
213,14.0
214,20.0
215,18.0
216,20.0
217,9.0
218,32.0
219,15.0
220,18.0
221,92.0
222,19.0
223,54.0
224,24.0
225,47.0
226,71.0
227,14.0
228,46.0
229,32.0
230,25.0
231,17.0
232,10.0
233,23.0
234,29.0
235,13.0
236,12.0
237,13.0
238,12.0
239,9.0
240,13.0
241,21.0
242,14.0
243,14.0
244,53.0
245,24.0
246,11.0
247,16.0
248,33.0
249,34.0
250,29.0
251,34.0
252,38.0
253,14.0
254,23.0
255,47.0
256,26.0
257,24.0
258,14.0
259,72.0
260,22.0
261,16.0
262,39.0
263,26.0
264,12.0
265,15.0
266,19.0
267,17.0
268,66.0
269,20.0
270,29.0
271,10.0
272,36.0
