Episode,Total Reward
0,23.0
1,18.0
2,10.0
3,25.0
4,13.0
5,18.0
6,15.0
7,15.0
8,41.0
9,58.0
10,17.0
11,23.0
12,54.0
13,20.0
14,26.0
15,13.0
16,16.0
17,15.0
18,11.0
19,16.0
20,23.0
21,37.0
22,27.0
23,22.0
24,43.0
25,12.0
26,19.0
27,11.0
28,11.0
29,15.0
30,55.0
31,19.0
32,16.0
33,14.0
34,20.0
35,26.0
36,12.0
37,15.0
38,62.0
39,9.0
40,17.0
41,19.0
42,50.0
43,15.0
44,12.0
45,26.0
46,10.0
47,21.0
48,40.0
49,24.0
50,20.0
51,13.0
52,12.0
53,43.0
54,13.0
55,27.0
56,23.0
57,17.0
58,28.0
59,17.0
60,17.0
61,13.0
62,39.0
63,24.0
64,10.0
65,17.0
66,17.0
67,12.0
68,31.0
69,26.0
70,29.0
71,27.0
72,19.0
73,15.0
74,18.0
75,17.0
76,15.0
77,51.0
78,25.0
79,49.0
80,21.0
81,11.0
82,26.0
83,16.0
84,16.0
85,18.0
86,18.0
87,31.0
88,19.0
89,12.0
90,22.0
91,18.0
92,16.0
93,20.0
94,20.0
95,26.0
96,19.0
97,36.0
98,22.0
99,76.0
100,38.0
101,16.0
102,30.0
103,13.0
104,56.0
105,30.0
106,12.0
107,22.0
108,13.0
109,22.0
110,15.0
111,20.0
112,29.0
113,32.0
114,29.0
115,20.0
116,17.0
117,22.0
118,26.0
119,25.0
120,13.0
121,12.0
122,32.0
123,13.0
124,28.0
125,18.0
126,15.0
127,28.0
128,32.0
129,33.0
130,12.0
131,16.0
132,34.0
133,35.0
134,13.0
135,16.0
136,27.0
137,17.0
138,15.0
139,48.0
140,19.0
141,16.0
142,38.0
143,19.0
144,12.0
145,21.0
146,32.0
147,17.0
148,20.0
149,31.0
150,26.0
151,12.0
152,14.0
153,22.0
154,19.0
155,23.0
156,14.0
157,16.0
158,10.0
159,34.0
160,19.0
161,37.0
162,31.0
163,26.0
164,21.0
165,17.0
166,13.0
167,19.0
168,13.0
169,16.0
170,24.0
171,19.0
172,85.0
173,16.0
174,33.0
175,17.0
176,25.0
177,34.0
178,29.0
179,19.0
180,14.0
181,26.0
182,31.0
183,23.0
184,11.0
185,27.0
186,15.0
187,22.0
188,47.0
189,22.0
190,22.0
191,11.0
192,33.0
193,23.0
194,65.0
195,30.0
196,17.0
197,14.0
198,11.0
199,53.0
200,33.0
201,41.0
202,24.0
203,14.0
204,30.0
205,33.0
206,18.0
207,28.0
208,14.0
209,14.0
210,35.0
211,30.0
212,13.0
213,21.0
214,16.0
215,10.0
216,13.0
217,21.0
218,15.0
219,51.0
220,20.0
221,55.0
222,74.0
223,23.0
224,21.0
225,44.0
226,29.0
227,22.0
228,30.0
229,24.0
230,9.0
231,44.0
232,26.0
233,26.0
234,83.0
235,28.0
236,21.0
237,14.0
238,14.0
239,18.0
240,19.0
241,31.0
242,33.0
243,13.0
244,11.0
245,29.0
246,18.0
247,16.0
248,47.0
249,13.0
250,14.0
251,21.0
252,25.0
253,30.0
254,16.0
255,17.0
256,10.0
257,14.0
258,14.0
259,16.0
260,16.0
261,25.0
262,24.0
263,12.0
264,13.0
265,10.0
266,12.0
267,13.0
268,17.0
269,20.0
270,43.0
271,16.0
272,47.0
273,65.0
274,24.0
275,15.0
276,65.0
277,20.0
278,25.0
279,23.0
280,18.0
281,70.0
282,32.0
283,32.0
284,20.0
285,28.0
286,26.0
287,60.0
288,18.0
289,14.0
290,30.0
291,21.0
292,15.0
293,19.0
294,59.0
295,61.0
296,20.0
297,47.0
298,13.0
299,12.0
300,39.0
301,14.0
302,25.0
303,38.0
304,11.0
305,48.0
306,46.0
307,21.0
308,16.0
309,37.0
310,42.0
311,11.0
312,11.0
313,14.0
314,21.0
315,15.0
316,31.0
317,17.0
318,18.0
319,25.0
320,66.0
321,15.0
322,51.0
323,27.0
324,19.0
325,17.0
326,39.0
327,45.0
328,19.0
329,48.0
330,30.0
331,12.0
332,15.0
333,13.0
334,95.0
335,14.0
336,93.0
337,53.0
338,30.0
339,27.0
340,17.0
341,22.0
342,28.0
343,143.0
