Episode,Total Reward
0,13.0
1,28.0
2,20.0
3,13.0
4,22.0
5,27.0
6,18.0
7,18.0
8,21.0
9,24.0
10,25.0
11,14.0
12,24.0
13,20.0
14,17.0
15,26.0
16,17.0
17,13.0
18,14.0
19,27.0
20,9.0
21,17.0
22,26.0
23,15.0
24,9.0
25,40.0
26,17.0
27,45.0
28,23.0
29,19.0
30,33.0
31,18.0
32,9.0
33,10.0
34,10.0
35,29.0
36,10.0
37,38.0
38,15.0
39,87.0
40,34.0
41,53.0
42,31.0
43,51.0
44,15.0
45,44.0
46,10.0
47,19.0
48,10.0
49,10.0
50,26.0
51,9.0
52,21.0
53,32.0
54,34.0
55,19.0
56,25.0
57,44.0
58,24.0
59,46.0
60,14.0
61,27.0
62,20.0
63,23.0
64,15.0
65,19.0
66,36.0
67,33.0
68,47.0
69,11.0
70,14.0
71,31.0
72,46.0
73,22.0
74,55.0
75,68.0
76,12.0
77,81.0
78,12.0
79,41.0
80,31.0
81,23.0
82,14.0
83,32.0
84,17.0
85,20.0
86,20.0
87,44.0
88,16.0
89,47.0
90,28.0
91,13.0
92,28.0
93,23.0
94,20.0
95,15.0
96,35.0
97,20.0
98,24.0
99,21.0
100,27.0
101,24.0
102,24.0
103,28.0
104,10.0
105,16.0
106,12.0
107,17.0
108,42.0
109,28.0
110,22.0
111,27.0
112,10.0
113,29.0
114,10.0
115,15.0
116,16.0
117,18.0
118,19.0
119,21.0
120,28.0
121,17.0
122,11.0
123,26.0
124,18.0
125,69.0
126,12.0
127,18.0
128,43.0
129,33.0
130,21.0
131,18.0
132,12.0
133,10.0
134,13.0
135,14.0
136,11.0
137,14.0
138,28.0
139,19.0
140,23.0
141,27.0
142,15.0
143,40.0
144,18.0
145,12.0
146,16.0
147,17.0
148,24.0
149,15.0
150,59.0
151,14.0
152,18.0
153,31.0
154,21.0
155,13.0
156,29.0
157,27.0
158,32.0
159,36.0
160,13.0
161,39.0
162,19.0
163,78.0
164,26.0
165,17.0
166,11.0
167,27.0
168,21.0
169,27.0
170,53.0
171,33.0
172,37.0
173,22.0
174,40.0
175,19.0
176,27.0
177,13.0
178,15.0
179,16.0
180,24.0
181,23.0
182,16.0
183,35.0
184,45.0
185,27.0
186,14.0
187,35.0
188,21.0
189,17.0
190,67.0
191,30.0
192,25.0
193,15.0
194,18.0
195,56.0
196,12.0
197,42.0
198,14.0
199,15.0
200,10.0
201,15.0
202,16.0
203,33.0
204,28.0
205,13.0
206,14.0
207,34.0
208,22.0
209,27.0
210,28.0
211,25.0
212,26.0
213,9.0
214,14.0
215,29.0
216,14.0
217,18.0
218,11.0
219,15.0
220,19.0
221,16.0
222,35.0
223,46.0
224,26.0
225,17.0
226,10.0
227,42.0
228,14.0
229,25.0
230,40.0
231,12.0
232,46.0
233,21.0
234,52.0
235,42.0
236,28.0
237,28.0
238,31.0
239,33.0
240,31.0
241,15.0
242,11.0
243,13.0
244,28.0
245,29.0
246,9.0
247,24.0
