Episode,Total Reward
0,-19.24226778712344
1,-17.07125338628791
2,-13.38114605172231
3,-16.802003588169175
4,-14.28827859357574
5,-18.31437275103815
6,-14.626440861436357
7,-12.8307384539251
8,-5.869434164989009
9,-12.780903363882981
10,-17.689042266041355
11,-10.908559824408645
12,-6.491213671594479
13,-12.505499172582612
14,-18.45370845787825
15,-8.442765876116432
16,-19.01209829857452
17,-17.382847098037168
18,-11.732318402935853
19,-9.707361666566957
20,-13.8767493335069
21,-16.08940554596047
22,-31.771431507293904
23,-11.44088694977057
24,-14.092054050415815
25,-9.27617535675357
26,-9.07306146870452
27,-19.492055043174627
28,-8.404420455431339
29,-15.521737070852009
30,-11.404138902797257
31,-30.15876435065875
32,-20.723303910339144
33,-27.46946412947555
34,-19.487632414775646
35,-8.600915135126252
36,-8.563354302406584
37,-11.72512411802411
38,-5.434291779750156
39,-12.52837055748706
40,-11.925924817835359
41,-17.148040248046968
42,-11.228711559016574
43,-15.747036219293683
44,-16.54505896558938
45,-7.964743109948201
46,-11.91707572613561
47,-17.948697543006553
48,-12.250475828412705
49,-14.122846187778903
50,-20.543504317147733
51,-18.888032720575943
52,-15.234731869962049
53,-10.366334724904124
54,-10.245397886229583
55,-13.63797450121839
56,-15.022058079092359
57,-35.337990916141145
58,-17.02031324631986
59,-11.22994238516402
60,-10.423630540840094
61,-8.455857149954085
62,-10.834481347651028
63,-11.613244239497202
64,-15.754724128140648
65,-8.193194347113966
66,-15.900877618583586
67,-11.127932269827411
68,-12.85518151051976
69,-12.449278777587072
70,-15.229042177219068
71,-12.441977616864536
72,-13.089835692511343
73,-19.288375288306895
74,-125.98004104451662
75,-7.394828620089575
76,-10.865445571327198
77,-14.601431269750986
78,-11.423152370977952
79,-9.683025859333332
80,-12.184646972989345
81,-10.39475105376739
82,-59.602184531712695
83,-10.355707991971915
84,-10.71990707004253
85,-15.958213727709655
86,-2.935177551162764
87,-4.916867544892355
88,-5.513982703646228
89,-8.358652639133979
90,-7.1608015454068905
91,-12.702662435051943
92,-18.94767111767688
93,-5.306852896469295
94,-17.457478595272914
95,-11.041300246487463
96,-6.288538550994441
97,-17.359174092665565
98,-13.72407188384243
99,-13.048532964184632
100,-9.050845745753886
101,-20.50487441778068
102,-29.826153474822377
103,-14.64571802631958
104,-5.635512605483461
105,-9.135364379794744
106,-18.07506851009234
107,-10.841606220258406
108,-13.673961760303099
109,-22.648828410174076
110,-11.676261855397673
111,-7.73700652119555
112,-16.77669969247088
113,-13.647170276065072
114,-18.213996950809612
115,-10.838415543764231
116,-10.183192818938004
117,-20.64229404430001
118,-17.702190239197783
119,-9.189154080658312
120,-9.26585253481803
121,-10.89719637238009
122,-19.902419168352466
123,-20.46350590244155
124,-12.571228845730761
125,-16.104091378673488
126,-11.466145868283245
127,-9.35835708462695
128,-19.329397765088412
129,-14.667754019382551
130,-22.045286662525115
131,-19.905733859783343
132,-13.133174221401203
133,-4.674923908511889
134,-15.708171976750807
135,-7.526690703197117
136,-10.019879314045927
137,-17.614857744821588
138,-9.97622764910713
139,-15.951789986508885
140,-15.142190491352599
141,-15.07863236421348
142,-18.5179291965432
143,-12.684093420331793
144,-4.512681742530703
145,-11.000518882287569
146,-17.637018420731998
147,-10.188948070848655
148,-3.1811593044287676
149,2.994232338360727
150,-11.441584055341936
151,-13.465745380144329
152,-13.990427763856369
153,-9.967958654729607
154,-18.056758710172836
155,-19.06009468228212
156,-13.12936395425521
157,-7.002390296807334
158,-9.846563971719275
159,-8.263287037650725
160,-9.119661280224555
161,-7.201386487527276
162,-7.133154815574306
163,-7.162004420095389
164,-18.248188696519563
165,-17.86665945195837
166,-51.341122690185536
167,-13.27161560709547
168,-11.65137122040002
169,-14.240896264189026
170,-7.8331681521663015
171,-32.662329440143935
172,-9.80615088925271
173,-8.438889780377941
174,-29.466380313272452
175,-13.29859978104349
176,-15.217700204134006
177,-9.779402599509707
178,-7.473791835212208
179,-14.597209880839333
180,-100.4997338402627
