Episode,Total Reward
1,17.0
2,52.0
3,9.0
4,12.0
5,24.0
6,28.0
7,19.0
8,14.0
9,17.0
10,13.0
11,13.0
12,23.0
13,27.0
14,11.0
15,54.0
16,19.0
17,17.0
18,18.0
19,9.0
20,24.0
21,41.0
22,15.0
23,12.0
24,23.0
25,41.0
26,18.0
27,13.0
28,20.0
29,14.0
30,25.0
31,43.0
32,29.0
33,36.0
34,17.0
35,40.0
36,19.0
37,45.0
38,16.0
39,14.0
40,13.0
41,68.0
42,16.0
43,19.0
44,79.0
45,22.0
46,14.0
47,16.0
48,11.0
49,17.0
50,19.0
51,11.0
52,16.0
53,8.0
54,19.0
55,13.0
56,29.0
57,14.0
58,13.0
59,14.0
60,10.0
61,9.0
62,13.0
63,20.0
64,47.0
65,16.0
66,22.0
67,34.0
68,17.0
69,50.0
70,15.0
71,11.0
72,21.0
73,31.0
74,24.0
75,32.0
76,12.0
77,13.0
78,10.0
79,16.0
80,16.0
81,11.0
82,14.0
83,10.0
84,60.0
85,17.0
86,18.0
87,20.0
88,20.0
89,12.0
90,15.0
91,13.0
92,29.0
93,26.0
94,22.0
95,10.0
96,13.0
97,13.0
98,24.0
99,16.0
100,64.0
101,24.0
102,15.0
103,19.0
104,12.0
105,24.0
106,24.0
107,11.0
108,36.0
109,17.0
110,20.0
111,11.0
112,14.0
113,21.0
114,13.0
115,14.0
116,11.0
117,40.0
118,14.0
119,14.0
120,17.0
121,14.0
122,24.0
123,24.0
124,20.0
125,12.0
126,15.0
127,22.0
128,14.0
129,13.0
130,9.0
131,10.0
132,15.0
133,17.0
134,10.0
135,15.0
136,30.0
137,15.0
138,22.0
139,17.0
140,14.0
141,22.0
142,21.0
143,36.0
144,11.0
145,15.0
146,58.0
147,26.0
148,11.0
149,14.0
150,11.0
151,30.0
152,20.0
153,27.0
154,29.0
155,25.0
156,21.0
157,28.0
158,17.0
159,11.0
160,15.0
161,10.0
162,22.0
163,22.0
164,47.0
165,18.0
166,11.0
167,32.0
168,12.0
169,15.0
