Episode,Total Reward
1,28.0
2,19.0
3,13.0
4,15.0
5,11.0
6,39.0
7,23.0
8,9.0
9,15.0
10,24.0
11,19.0
12,19.0
13,16.0
14,22.0
15,17.0
16,11.0
17,30.0
18,12.0
19,18.0
20,19.0
21,35.0
22,17.0
23,20.0
24,14.0
25,22.0
26,21.0
27,14.0
28,15.0
29,14.0
30,12.0
31,13.0
32,14.0
33,12.0
34,13.0
35,56.0
36,10.0
37,12.0
38,26.0
39,24.0
40,18.0
41,14.0
42,20.0
43,44.0
44,25.0
45,20.0
46,18.0
47,19.0
48,16.0
49,16.0
50,19.0
51,9.0
52,118.0
53,18.0
54,24.0
55,25.0
56,20.0
57,24.0
58,19.0
59,17.0
60,16.0
61,22.0
62,16.0
63,25.0
64,19.0
65,18.0
66,13.0
67,18.0
68,34.0
69,9.0
70,28.0
71,25.0
72,62.0
73,16.0
74,36.0
75,14.0
76,16.0
77,88.0
78,26.0
79,19.0
80,35.0
81,28.0
82,36.0
83,31.0
84,23.0
85,11.0
86,17.0
87,15.0
88,32.0
89,30.0
90,10.0
91,9.0
92,18.0
93,25.0
94,24.0
95,45.0
96,66.0
97,44.0
98,12.0
99,26.0
100,43.0
101,32.0
102,18.0
103,15.0
104,37.0
105,15.0
106,18.0
107,42.0
108,25.0
109,17.0
110,30.0
111,14.0
112,10.0
113,12.0
114,53.0
115,11.0
116,19.0
117,34.0
118,33.0
119,14.0
120,18.0
121,25.0
122,11.0
123,17.0
124,33.0
125,24.0
126,21.0
127,32.0
128,55.0
129,14.0
130,14.0
131,20.0
132,23.0
133,50.0
134,17.0
135,26.0
136,30.0
137,38.0
138,51.0
139,14.0
140,21.0
141,50.0
142,29.0
143,25.0
144,13.0
145,14.0
146,14.0
147,40.0
148,32.0
149,28.0
150,16.0
151,25.0
152,13.0
153,45.0
154,19.0
155,40.0
156,24.0
157,31.0
158,28.0
159,91.0
160,17.0
161,29.0
162,28.0
163,19.0
164,16.0
165,27.0
166,16.0
167,17.0
168,34.0
169,13.0
170,24.0
171,21.0
172,13.0
173,35.0
174,24.0
175,38.0
176,20.0
177,20.0
178,23.0
179,43.0
180,21.0
181,29.0
182,20.0
183,12.0
184,25.0
185,10.0
186,12.0
187,14.0
188,31.0
189,20.0
190,38.0
191,9.0
192,21.0
193,32.0
194,41.0
195,36.0
196,24.0
197,12.0
198,15.0
199,15.0
200,23.0
201,25.0
202,20.0
203,57.0
204,40.0
205,17.0
206,26.0
207,90.0
208,30.0
209,63.0
210,67.0
211,16.0
212,22.0
213,36.0
214,15.0
215,15.0
216,53.0
217,11.0
218,21.0
219,22.0
220,10.0
221,22.0
222,40.0
223,9.0
224,12.0
225,57.0
226,26.0
227,21.0
228,21.0
229,17.0
230,21.0
231,24.0
232,32.0
233,55.0
234,67.0
235,10.0
236,21.0
237,53.0
238,18.0
239,18.0
240,19.0
