Episode,Total Reward
0,13.0
1,25.0
2,17.0
3,12.0
4,28.0
5,59.0
6,25.0
7,10.0
8,73.0
9,10.0
10,18.0
11,17.0
12,17.0
13,19.0
14,22.0
15,22.0
16,27.0
17,15.0
18,13.0
19,14.0
20,21.0
21,14.0
22,18.0
23,21.0
24,16.0
25,17.0
26,12.0
27,13.0
28,27.0
29,27.0
30,16.0
31,18.0
32,25.0
33,22.0
34,12.0
35,19.0
36,37.0
37,17.0
38,50.0
39,37.0
40,12.0
41,24.0
42,17.0
43,17.0
44,29.0
45,38.0
46,97.0
47,54.0
48,14.0
49,39.0
50,57.0
51,26.0
52,56.0
53,65.0
54,52.0
55,114.0
56,55.0
57,55.0
58,111.0
59,63.0
60,50.0
61,71.0
62,111.0
63,153.0
64,164.0
65,336.0
66,79.0
67,239.0
68,256.0
69,232.0
70,204.0
71,219.0
72,288.0
73,297.0
74,246.0
75,308.0
76,349.0
77,273.0
78,303.0
79,237.0
80,289.0
81,313.0
82,290.0
83,246.0
84,235.0
85,286.0
86,317.0
87,303.0
88,277.0
89,215.0
90,274.0
91,275.0
92,333.0
93,235.0
94,280.0
95,262.0
96,254.0
97,289.0
98,305.0
99,251.0
100,292.0
101,259.0
102,269.0
103,231.0
104,340.0
105,272.0
106,325.0
107,256.0
108,286.0
109,319.0
110,316.0
111,343.0
112,346.0
113,294.0
114,254.0
115,328.0
116,304.0
117,291.0
118,298.0
119,339.0
120,264.0
121,331.0
122,338.0
123,414.0
124,354.0
125,282.0
126,340.0
127,335.0
128,409.0
129,414.0
130,305.0
131,388.0
132,301.0
133,367.0
134,323.0
135,297.0
136,302.0
137,319.0
138,312.0
139,388.0
140,285.0
141,331.0
142,371.0
143,313.0
144,374.0
145,398.0
146,328.0
147,345.0
148,312.0
149,297.0
150,321.0
151,313.0
152,352.0
153,447.0
154,433.0
155,363.0
156,353.0
157,349.0
158,357.0
159,315.0
160,350.0
161,390.0
162,435.0
163,330.0
164,270.0
165,312.0
166,274.0
167,321.0
168,397.0
169,437.0
170,500.0
171,354.0
172,368.0
173,364.0
174,463.0
175,362.0
176,374.0
177,315.0
178,378.0
179,359.0
180,290.0
181,319.0
182,302.0
183,359.0
184,335.0
185,277.0
186,370.0
187,346.0
188,381.0
189,340.0
190,318.0
191,373.0
192,422.0
193,366.0
194,350.0
195,318.0
196,280.0
197,343.0
198,500.0
199,381.0
200,413.0
201,307.0
202,403.0
203,384.0
204,355.0
205,381.0
206,361.0
207,500.0
208,434.0
209,428.0
210,363.0
211,465.0
212,405.0
213,455.0
214,415.0
215,391.0
216,399.0
217,262.0
218,272.0
219,350.0
220,422.0
221,328.0
222,321.0
223,291.0
224,302.0
225,390.0
226,328.0
227,426.0
228,354.0
229,500.0
230,500.0
231,457.0
232,481.0
233,357.0
234,306.0
235,350.0
236,479.0
237,419.0
238,379.0
239,384.0
240,332.0
241,373.0
242,432.0
243,470.0
244,406.0
245,418.0
246,438.0
247,409.0
248,451.0
249,500.0
250,384.0
251,393.0
252,396.0
253,402.0
254,309.0
255,435.0
256,323.0
257,500.0
258,497.0
259,366.0
260,280.0
261,426.0
262,382.0
263,500.0
264,500.0
265,500.0
266,500.0
267,400.0
268,484.0
269,454.0
270,284.0
271,380.0
272,298.0
273,500.0
274,409.0
275,500.0
276,375.0
277,500.0
278,500.0
279,461.0
280,297.0
281,282.0
282,375.0
283,500.0
284,500.0
285,417.0
286,312.0
287,416.0
288,297.0
289,500.0
290,328.0
291,500.0
292,366.0
293,500.0
294,492.0
295,406.0
296,500.0
297,477.0
298,491.0
299,421.0
300,438.0
301,463.0
302,500.0
303,500.0
304,500.0
305,500.0
306,500.0
307,454.0
308,500.0
309,500.0
310,500.0
311,500.0
312,500.0
313,500.0
314,500.0
315,500.0
316,500.0
317,500.0
318,500.0
319,417.0
320,500.0
321,480.0
322,410.0
323,289.0
324,382.0
325,500.0
326,446.0
327,500.0
328,500.0
329,467.0
330,375.0
331,500.0
332,321.0
333,315.0
334,500.0
335,421.0
336,500.0
337,500.0
338,500.0
339,478.0
340,500.0
341,500.0
342,497.0
343,494.0
344,431.0
345,409.0
346,315.0
347,500.0
348,408.0
349,500.0
350,500.0
351,500.0
352,345.0
353,355.0
354,500.0
355,500.0
356,369.0
357,500.0
358,500.0
359,500.0
360,500.0
361,500.0
362,500.0
363,500.0
364,500.0
365,500.0
366,500.0
367,500.0
368,500.0
369,500.0
370,500.0
371,425.0
372,369.0
373,500.0
374,500.0
375,500.0
376,418.0
377,500.0
378,500.0
379,500.0
380,500.0
381,500.0
382,500.0
383,345.0
384,500.0
385,500.0
386,500.0
387,500.0
388,500.0
389,346.0
390,500.0
391,500.0
392,451.0
393,500.0
394,500.0
395,500.0
396,500.0
397,500.0
398,500.0
399,500.0
400,500.0
401,500.0
402,500.0
403,500.0
404,419.0
405,500.0
406,500.0
407,500.0
408,500.0
409,500.0
410,500.0
411,500.0
412,500.0
413,500.0
414,500.0
415,500.0
416,500.0
417,500.0
418,500.0
419,500.0
420,500.0
421,500.0
422,500.0
423,493.0
424,500.0
425,500.0
426,500.0
427,23.0
428,500.0
429,500.0
430,500.0
431,334.0
432,500.0
433,446.0
434,500.0
435,500.0
436,500.0
437,500.0
438,478.0
439,500.0
440,500.0
441,500.0
442,500.0
443,500.0
444,500.0
445,500.0
446,500.0
447,500.0
448,500.0
449,500.0
