Episode,Total Reward
0,14.0
1,14.0
2,66.0
3,19.0
4,17.0
5,24.0
6,33.0
7,118.0
8,16.0
9,21.0
10,48.0
11,28.0
12,22.0
13,19.0
14,11.0
15,12.0
16,17.0
17,10.0
18,40.0
19,24.0
20,15.0
21,13.0
22,34.0
23,17.0
24,20.0
25,42.0
26,33.0
27,46.0
28,27.0
29,28.0
30,20.0
31,28.0
32,26.0
33,48.0
34,36.0
35,18.0
36,41.0
37,39.0
38,30.0
39,249.0
40,56.0
41,43.0
42,83.0
43,92.0
44,160.0
45,199.0
46,146.0
47,81.0
48,110.0
49,103.0
50,335.0
51,121.0
52,172.0
53,250.0
54,318.0
55,160.0
56,490.0
57,231.0
58,303.0
59,259.0
60,463.0
61,315.0
62,313.0
63,319.0
64,257.0
65,325.0
66,333.0
67,332.0
68,319.0
69,362.0
70,319.0
71,262.0
72,262.0
73,448.0
74,337.0
75,472.0
76,307.0
77,414.0
78,369.0
79,483.0
80,407.0
81,325.0
82,473.0
83,500.0
84,343.0
85,414.0
86,319.0
87,257.0
88,413.0
89,311.0
90,372.0
91,370.0
92,405.0
93,410.0
94,474.0
95,339.0
96,308.0
97,301.0
98,375.0
99,397.0
100,334.0
101,398.0
102,423.0
103,311.0
104,389.0
105,411.0
106,442.0
107,387.0
108,361.0
109,500.0
110,392.0
111,407.0
112,412.0
113,500.0
114,500.0
115,478.0
116,500.0
117,500.0
118,498.0
119,482.0
120,433.0
121,367.0
122,433.0
123,462.0
124,500.0
125,500.0
126,441.0
127,457.0
128,500.0
129,500.0
130,484.0
131,500.0
132,500.0
133,500.0
134,478.0
135,442.0
136,500.0
137,500.0
138,500.0
139,500.0
140,500.0
141,500.0
142,437.0
143,500.0
144,500.0
145,380.0
146,500.0
147,449.0
148,498.0
149,500.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,500.0
156,500.0
157,500.0
158,500.0
159,500.0
160,500.0
161,500.0
162,500.0
163,500.0
164,500.0
165,500.0
166,372.0
167,500.0
168,500.0
169,500.0
170,500.0
171,500.0
172,500.0
173,491.0
174,500.0
175,500.0
176,500.0
177,500.0
178,500.0
179,500.0
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,500.0
190,500.0
191,500.0
192,500.0
193,500.0
