Episode,Total Reward
0,20.0
1,11.0
2,22.0
3,17.0
4,25.0
5,14.0
6,19.0
7,33.0
8,17.0
9,10.0
10,35.0
11,21.0
12,13.0
13,47.0
14,19.0
15,17.0
16,30.0
17,13.0
18,11.0
19,13.0
20,13.0
21,22.0
22,14.0
23,25.0
24,13.0
25,18.0
26,11.0
27,64.0
28,14.0
29,38.0
30,29.0
31,13.0
32,21.0
33,11.0
34,11.0
35,10.0
36,37.0
37,18.0
38,13.0
39,13.0
40,12.0
41,15.0
42,15.0
43,23.0
44,10.0
45,18.0
46,19.0
47,21.0
48,18.0
49,16.0
50,9.0
51,36.0
52,15.0
53,19.0
54,16.0
55,26.0
56,23.0
57,31.0
58,12.0
59,20.0
60,37.0
61,10.0
62,14.0
63,22.0
64,23.0
65,17.0
66,21.0
67,12.0
68,35.0
69,22.0
70,18.0
71,13.0
72,28.0
73,33.0
74,9.0
75,16.0
76,19.0
77,16.0
78,14.0
79,14.0
80,19.0
81,20.0
82,15.0
83,13.0
84,14.0
85,11.0
86,38.0
87,18.0
88,19.0
89,13.0
90,16.0
91,62.0
92,15.0
93,18.0
94,15.0
95,17.0
96,31.0
97,40.0
98,13.0
99,14.0
100,12.0
101,25.0
102,20.0
103,13.0
104,16.0
105,22.0
106,16.0
107,22.0
108,46.0
109,12.0
110,21.0
111,19.0
112,23.0
113,17.0
114,12.0
115,23.0
116,21.0
117,40.0
118,35.0
119,20.0
120,10.0
121,10.0
122,25.0
123,11.0
124,76.0
125,17.0
126,55.0
127,20.0
128,24.0
129,20.0
130,28.0
131,12.0
132,21.0
133,20.0
134,29.0
135,33.0
136,21.0
137,24.0
138,17.0
139,11.0
140,33.0
141,27.0
142,20.0
143,27.0
144,11.0
145,20.0
146,26.0
147,22.0
148,12.0
149,14.0
150,11.0
151,24.0
152,17.0
153,52.0
154,44.0
155,10.0
156,31.0
157,13.0
158,8.0
159,13.0
160,17.0
161,30.0
162,38.0
163,23.0
164,11.0
165,13.0
166,15.0
167,12.0
168,28.0
169,15.0
170,13.0
171,18.0
172,12.0
173,24.0
174,23.0
175,11.0
176,14.0
177,21.0
178,42.0
179,15.0
180,16.0
181,11.0
182,19.0
183,17.0
184,31.0
185,23.0
186,16.0
187,48.0
188,20.0
189,26.0
190,15.0
191,28.0
192,15.0
193,20.0
194,71.0
195,27.0
196,12.0
197,11.0
198,16.0
199,9.0
200,17.0
201,12.0
202,22.0
203,12.0
204,22.0
205,24.0
206,14.0
207,39.0
208,22.0
209,22.0
210,10.0
211,14.0
212,11.0
213,24.0
214,17.0
215,9.0
216,11.0
217,13.0
218,13.0
219,18.0
220,17.0
221,13.0
222,31.0
223,18.0
224,18.0
225,36.0
226,19.0
227,18.0
228,19.0
229,10.0
230,16.0
231,29.0
232,14.0
233,14.0
234,16.0
235,18.0
236,10.0
237,24.0
238,14.0
239,9.0
240,40.0
241,34.0
242,14.0
243,77.0
244,13.0
245,59.0
246,12.0
247,21.0
248,18.0
249,18.0
250,39.0
251,20.0
252,20.0
253,14.0
254,44.0
255,13.0
256,24.0
257,21.0
258,13.0
259,18.0
260,10.0
261,22.0
262,22.0
263,40.0
264,11.0
265,11.0
266,17.0
267,22.0
268,32.0
269,15.0
270,139.0
271,16.0
272,33.0
273,22.0
274,19.0
275,16.0
276,12.0
277,52.0
278,11.0
279,27.0
280,13.0
281,19.0
282,50.0
283,12.0
284,35.0
285,28.0
286,71.0
287,24.0
288,20.0
289,11.0
290,11.0
291,19.0
292,12.0
293,14.0
294,25.0
295,15.0
296,18.0
297,18.0
298,22.0
299,30.0
300,35.0
301,13.0
302,14.0
303,19.0
304,25.0
305,19.0
306,12.0
307,11.0
308,17.0
309,20.0
310,20.0
311,21.0
312,27.0
313,48.0
314,17.0
315,28.0
316,39.0
317,13.0
318,26.0
319,21.0
320,17.0
321,13.0
322,22.0
323,24.0
324,18.0
325,11.0
326,31.0
327,15.0
328,46.0
329,36.0
330,107.0
331,30.0
332,15.0
333,30.0
334,19.0
335,31.0
336,14.0
337,26.0
338,27.0
339,18.0
340,24.0
341,16.0
342,11.0
343,15.0
344,20.0
345,31.0
346,45.0
347,21.0
348,18.0
349,16.0
350,13.0
351,26.0
352,19.0
353,10.0
354,24.0
355,11.0
356,21.0
357,12.0
358,9.0
359,21.0
360,18.0
361,15.0
362,14.0
363,31.0
364,26.0
365,11.0
366,12.0
367,19.0
368,16.0
369,20.0
370,13.0
371,13.0
372,11.0
373,19.0
374,24.0
375,28.0
376,10.0
377,27.0
378,24.0
379,14.0
380,22.0
381,66.0
382,39.0
383,9.0
384,23.0
385,11.0
386,16.0
387,25.0
388,16.0
389,16.0
390,13.0
391,17.0
392,26.0
393,11.0
394,17.0
395,35.0
396,18.0
397,12.0
398,12.0
399,22.0
400,15.0
401,13.0
402,11.0
403,15.0
404,34.0
405,18.0
406,12.0
407,26.0
408,10.0
409,34.0
410,18.0
411,16.0
412,15.0
413,41.0
414,17.0
415,11.0
416,16.0
417,11.0
418,15.0
419,11.0
420,27.0
421,18.0
422,21.0
423,13.0
424,11.0
425,41.0
426,19.0
427,23.0
428,11.0
429,15.0
430,12.0
431,10.0
432,23.0
433,33.0
434,16.0
435,34.0
436,22.0
437,81.0
438,32.0
439,13.0
440,12.0
441,34.0
442,14.0
443,21.0
444,16.0
445,21.0
446,17.0
447,18.0
448,11.0
449,14.0
450,13.0
451,11.0
452,21.0
453,34.0
454,20.0
455,42.0
456,47.0
457,31.0
458,16.0
459,13.0
460,32.0
461,19.0
462,10.0
463,29.0
464,13.0
465,18.0
466,22.0
467,20.0
468,28.0
469,17.0
470,10.0
471,24.0
472,20.0
473,25.0
474,22.0
475,17.0
476,27.0
477,12.0
478,14.0
479,25.0
480,36.0
481,15.0
482,18.0
483,18.0
484,12.0
485,21.0
486,17.0
487,19.0
488,12.0
489,21.0
490,12.0
491,10.0
492,13.0
493,20.0
494,21.0
495,15.0
496,21.0
497,15.0
498,27.0
499,15.0
500,53.0
501,14.0
502,11.0
503,25.0
504,21.0
505,30.0
506,24.0
507,15.0
508,16.0
509,41.0
510,48.0
511,13.0
512,11.0
513,15.0
514,14.0
515,26.0
516,16.0
517,37.0
518,28.0
519,23.0
520,16.0
521,10.0
522,22.0
523,28.0
524,11.0
525,15.0
526,18.0
527,18.0
528,15.0
529,13.0
530,29.0
531,15.0
532,19.0
533,18.0
534,11.0
535,18.0
536,17.0
537,22.0
538,15.0
539,25.0
540,9.0
541,28.0
542,10.0
543,24.0
544,10.0
545,18.0
546,17.0
547,29.0
548,9.0
549,29.0
550,12.0
551,13.0
552,23.0
553,14.0
554,13.0
555,48.0
556,41.0
557,53.0
558,32.0
559,17.0
560,16.0
561,26.0
562,15.0
563,14.0
564,22.0
565,17.0
566,17.0
567,12.0
568,17.0
569,10.0
570,8.0
571,23.0
572,15.0
573,28.0
574,11.0
575,35.0
576,34.0
577,21.0
578,40.0
579,23.0
580,13.0
581,15.0
582,23.0
583,19.0
584,21.0
585,39.0
586,13.0
587,18.0
588,22.0
589,17.0
590,29.0
591,64.0
592,15.0
593,32.0
594,13.0
595,18.0
596,25.0
597,35.0
598,14.0
599,23.0
600,40.0
601,18.0
602,19.0
603,15.0
604,24.0
605,18.0
606,30.0
607,13.0
608,35.0
609,13.0
610,19.0
611,16.0
612,39.0
613,10.0
614,27.0
615,16.0
616,20.0
617,38.0
618,10.0
619,12.0
620,24.0
621,19.0
622,16.0
623,11.0
624,16.0
625,12.0
626,24.0
627,57.0
628,67.0
629,20.0
630,21.0
631,50.0
632,21.0
633,8.0
634,13.0
635,21.0
636,19.0
637,17.0
638,23.0
639,10.0
640,39.0
641,12.0
642,22.0
643,49.0
644,26.0
645,22.0
646,28.0
647,36.0
648,15.0
649,16.0
650,24.0
651,8.0
652,18.0
653,47.0
654,21.0
655,18.0
656,35.0
657,13.0
658,28.0
659,10.0
660,15.0
661,35.0
662,18.0
663,15.0
664,23.0
665,21.0
666,13.0
667,24.0
668,21.0
669,25.0
670,23.0
671,22.0
672,33.0
673,29.0
674,22.0
675,19.0
676,21.0
677,19.0
678,17.0
679,30.0
680,23.0
681,22.0
682,15.0
683,51.0
684,12.0
685,8.0
686,14.0
687,33.0
688,17.0
689,18.0
690,14.0
691,19.0
692,12.0
693,52.0
694,13.0
695,18.0
696,13.0
697,31.0
698,10.0
699,33.0
700,14.0
701,28.0
702,32.0
703,11.0
704,15.0
705,43.0
706,12.0
707,11.0
708,18.0
709,29.0
710,30.0
711,37.0
712,13.0
713,17.0
714,21.0
715,20.0
716,24.0
717,29.0
718,17.0
719,48.0
720,29.0
721,28.0
722,31.0
723,13.0
724,15.0
725,14.0
726,22.0
727,19.0
728,10.0
729,28.0
730,24.0
731,27.0
732,12.0
733,18.0
734,9.0
735,20.0
736,20.0
737,15.0
738,12.0
739,17.0
740,26.0
741,24.0
742,22.0
743,11.0
744,11.0
745,47.0
746,16.0
747,31.0
748,16.0
749,14.0
750,12.0
751,14.0
752,18.0
753,16.0
754,32.0
755,29.0
756,19.0
757,30.0
758,14.0
759,11.0
760,24.0
761,10.0
762,15.0
763,13.0
764,29.0
765,16.0
766,17.0
767,17.0
768,18.0
769,16.0
770,14.0
771,21.0
772,34.0
773,27.0
774,15.0
775,23.0
776,17.0
777,10.0
778,15.0
779,18.0
780,15.0
781,19.0
782,32.0
783,26.0
784,15.0
785,10.0
786,33.0
787,39.0
788,15.0
789,14.0
790,13.0
791,10.0
792,16.0
793,25.0
794,11.0
795,14.0
796,9.0
797,13.0
798,16.0
799,9.0
800,22.0
801,11.0
802,12.0
803,23.0
804,13.0
805,32.0
806,20.0
807,25.0
808,16.0
809,14.0
810,27.0
811,12.0
812,17.0
813,13.0
814,16.0
815,17.0
816,82.0
817,10.0
818,12.0
819,23.0
820,14.0
821,17.0
822,22.0
823,29.0
824,17.0
825,47.0
826,22.0
827,13.0
828,16.0
829,16.0
830,20.0
831,13.0
832,29.0
833,19.0
834,10.0
835,18.0
836,19.0
837,13.0
838,61.0
839,26.0
840,17.0
841,15.0
842,24.0
843,40.0
844,29.0
845,16.0
846,16.0
847,17.0
848,18.0
849,31.0
850,9.0
851,13.0
852,20.0
853,13.0
854,27.0
855,23.0
856,15.0
857,12.0
858,20.0
859,28.0
860,14.0
861,14.0
862,24.0
863,25.0
864,21.0
865,34.0
866,19.0
867,13.0
868,20.0
869,26.0
870,55.0
871,22.0
872,14.0
873,17.0
874,43.0
875,17.0
876,15.0
877,11.0
878,20.0
879,16.0
880,12.0
881,14.0
882,44.0
883,12.0
884,43.0
885,23.0
886,9.0
887,21.0
888,16.0
889,20.0
890,14.0
891,15.0
892,12.0
893,12.0
894,19.0
895,10.0
896,14.0
897,17.0
898,29.0
899,23.0
900,35.0
901,11.0
902,15.0
903,49.0
904,11.0
905,50.0
906,26.0
907,23.0
908,23.0
909,31.0
910,45.0
911,18.0
912,20.0
913,22.0
914,14.0
915,27.0
916,39.0
917,35.0
918,16.0
919,12.0
920,13.0
921,19.0
922,10.0
923,13.0
924,37.0
925,22.0
926,12.0
927,16.0
928,12.0
929,11.0
930,17.0
931,26.0
932,18.0
933,23.0
934,13.0
935,11.0
936,14.0
937,14.0
938,11.0
939,14.0
940,14.0
941,11.0
942,12.0
943,12.0
944,35.0
945,11.0
946,44.0
947,13.0
948,22.0
949,19.0
950,16.0
951,28.0
952,45.0
953,25.0
954,10.0
955,17.0
956,23.0
957,26.0
958,12.0
959,30.0
960,17.0
961,41.0
962,21.0
963,28.0
964,35.0
965,15.0
966,29.0
967,29.0
968,19.0
969,33.0
970,14.0
971,10.0
972,13.0
973,31.0
974,23.0
975,15.0
976,17.0
977,48.0
978,20.0
979,30.0
980,24.0
981,66.0
982,41.0
983,19.0
984,23.0
985,12.0
986,17.0
987,32.0
988,31.0
989,24.0
990,19.0
991,19.0
992,37.0
993,40.0
994,19.0
995,14.0
996,29.0
997,15.0
998,16.0
999,32.0
1000,19.0
1001,11.0
1002,16.0
1003,14.0
1004,13.0
1005,27.0
1006,20.0
1007,15.0
1008,20.0
1009,15.0
1010,22.0
1011,13.0
1012,15.0
1013,53.0
1014,26.0
1015,20.0
1016,12.0
1017,24.0
1018,26.0
1019,28.0
1020,20.0
1021,62.0
1022,13.0
1023,14.0
1024,13.0
1025,32.0
1026,13.0
1027,21.0
1028,13.0
1029,14.0
1030,14.0
1031,14.0
1032,31.0
1033,12.0
1034,11.0
1035,19.0
1036,15.0
1037,38.0
1038,57.0
1039,15.0
1040,15.0
1041,23.0
1042,16.0
1043,15.0
1044,23.0
1045,40.0
1046,23.0
1047,10.0
1048,13.0
1049,12.0
1050,11.0
1051,13.0
1052,28.0
1053,20.0
1054,39.0
1055,20.0
1056,19.0
1057,23.0
1058,17.0
1059,18.0
1060,13.0
1061,11.0
1062,29.0
1063,20.0
1064,17.0
1065,28.0
1066,42.0
1067,42.0
1068,20.0
1069,21.0
1070,17.0
1071,17.0
1072,13.0
1073,17.0
1074,15.0
1075,14.0
1076,17.0
1077,12.0
1078,34.0
