Episode,Total Reward
0,19.0
1,46.0
2,10.0
3,18.0
4,15.0
5,35.0
6,14.0
7,16.0
8,9.0
9,16.0
10,14.0
11,25.0
12,11.0
13,19.0
14,15.0
15,9.0
16,15.0
17,14.0
18,13.0
19,10.0
20,22.0
21,20.0
22,20.0
23,23.0
24,17.0
25,13.0
26,12.0
27,14.0
28,14.0
29,17.0
30,23.0
31,11.0
32,15.0
33,16.0
34,24.0
35,11.0
36,21.0
37,10.0
38,15.0
39,25.0
40,18.0
41,23.0
42,20.0
43,13.0
44,20.0
45,48.0
46,18.0
47,14.0
48,17.0
49,63.0
50,32.0
51,15.0
52,12.0
53,43.0
54,13.0
55,14.0
56,19.0
57,15.0
58,14.0
59,12.0
60,47.0
61,44.0
62,20.0
63,12.0
64,32.0
65,17.0
66,13.0
67,52.0
68,21.0
69,13.0
70,18.0
71,10.0
72,17.0
73,10.0
74,10.0
75,12.0
76,23.0
77,14.0
78,13.0
79,17.0
80,13.0
81,16.0
82,27.0
83,23.0
84,15.0
85,45.0
86,29.0
87,30.0
88,17.0
89,20.0
90,73.0
91,14.0
92,19.0
93,61.0
94,43.0
95,15.0
96,11.0
97,12.0
98,24.0
99,47.0
100,22.0
101,18.0
102,20.0
103,28.0
104,9.0
105,28.0
106,17.0
107,21.0
108,19.0
109,11.0
110,16.0
111,11.0
112,40.0
113,16.0
114,15.0
115,12.0
116,14.0
117,45.0
118,11.0
119,21.0
120,11.0
121,17.0
122,14.0
123,54.0
124,12.0
125,27.0
126,14.0
127,52.0
128,11.0
129,25.0
130,11.0
131,19.0
132,43.0
133,10.0
134,37.0
135,15.0
136,43.0
137,33.0
138,17.0
139,32.0
140,14.0
141,13.0
142,12.0
143,20.0
144,16.0
145,25.0
146,11.0
147,11.0
148,14.0
149,46.0
150,27.0
151,15.0
152,31.0
153,26.0
154,22.0
155,26.0
156,12.0
157,23.0
158,10.0
159,22.0
160,16.0
161,15.0
162,29.0
163,27.0
164,14.0
165,13.0
166,14.0
167,25.0
168,13.0
169,10.0
170,23.0
171,20.0
172,27.0
173,29.0
174,14.0
175,21.0
176,16.0
177,17.0
178,14.0
179,30.0
180,18.0
181,13.0
182,28.0
183,11.0
184,10.0
185,15.0
186,31.0
187,12.0
188,21.0
189,50.0
190,18.0
191,19.0
192,17.0
193,12.0
194,27.0
195,25.0
196,15.0
197,28.0
198,25.0
199,25.0
200,16.0
201,13.0
202,17.0
203,14.0
204,34.0
205,28.0
206,18.0
207,13.0
208,33.0
209,10.0
210,13.0
211,26.0
212,29.0
213,12.0
214,10.0
215,17.0
216,46.0
217,34.0
218,14.0
219,26.0
220,17.0
221,16.0
222,14.0
223,11.0
224,12.0
225,37.0
226,11.0
227,18.0
228,20.0
229,27.0
230,20.0
231,32.0
232,13.0
233,12.0
234,22.0
235,21.0
236,26.0
237,17.0
238,13.0
239,31.0
240,59.0
241,12.0
242,12.0
243,17.0
244,20.0
245,14.0
246,21.0
247,12.0
248,11.0
249,19.0
250,15.0
251,12.0
252,23.0
253,12.0
254,23.0
255,18.0
256,14.0
257,17.0
258,38.0
259,47.0
260,28.0
261,16.0
262,26.0
263,35.0
264,23.0
265,13.0
266,15.0
267,33.0
268,22.0
269,23.0
270,17.0
271,31.0
272,13.0
273,26.0
274,70.0
275,33.0
276,29.0
277,11.0
278,16.0
279,36.0
280,12.0
281,46.0
282,48.0
283,17.0
284,15.0
285,18.0
286,73.0
287,13.0
288,15.0
289,30.0
290,13.0
291,22.0
292,16.0
293,15.0
294,10.0
295,19.0
296,21.0
297,27.0
298,44.0
299,16.0
300,17.0
301,17.0
302,23.0
303,14.0
304,11.0
305,12.0
306,15.0
307,12.0
308,10.0
309,32.0
310,16.0
311,13.0
312,15.0
313,29.0
314,53.0
315,36.0
316,16.0
317,17.0
318,17.0
319,15.0
320,20.0
321,15.0
322,23.0
323,64.0
324,12.0
325,11.0
326,33.0
327,12.0
328,48.0
329,12.0
330,39.0
331,20.0
332,12.0
333,14.0
334,18.0
335,16.0
336,13.0
337,9.0
338,19.0
339,41.0
340,16.0
341,42.0
342,36.0
343,13.0
344,26.0
345,11.0
346,38.0
347,16.0
348,48.0
349,20.0
350,16.0
351,16.0
352,17.0
353,41.0
354,24.0
355,88.0
356,12.0
357,25.0
358,77.0
359,52.0
360,26.0
361,15.0
362,34.0
363,60.0
364,37.0
365,10.0
366,29.0
367,10.0
368,31.0
369,28.0
370,20.0
371,21.0
372,8.0
373,12.0
374,26.0
375,15.0
376,13.0
377,12.0
378,14.0
379,14.0
380,29.0
381,23.0
382,17.0
383,12.0
384,30.0
385,17.0
386,11.0
387,14.0
388,32.0
389,36.0
390,19.0
391,44.0
392,38.0
393,19.0
394,24.0
395,42.0
396,22.0
397,24.0
398,63.0
399,16.0
400,29.0
401,22.0
402,27.0
403,16.0
404,19.0
405,29.0
406,21.0
407,16.0
408,13.0
409,22.0
410,18.0
411,12.0
412,13.0
413,9.0
414,22.0
415,12.0
416,22.0
417,21.0
418,16.0
419,19.0
420,22.0
421,23.0
422,16.0
423,68.0
424,22.0
425,27.0
426,24.0
427,49.0
428,20.0
429,15.0
430,28.0
431,32.0
432,21.0
433,18.0
434,12.0
435,17.0
436,61.0
437,22.0
438,49.0
439,9.0
440,19.0
441,32.0
442,15.0
443,17.0
444,58.0
445,44.0
446,14.0
447,12.0
448,26.0
449,15.0
450,25.0
451,19.0
452,29.0
453,15.0
454,33.0
455,29.0
456,26.0
457,28.0
458,26.0
459,17.0
460,19.0
461,29.0
462,22.0
463,21.0
464,29.0
465,21.0
466,47.0
467,12.0
468,18.0
469,17.0
470,11.0
471,12.0
472,31.0
473,32.0
474,66.0
475,20.0
476,13.0
477,17.0
478,28.0
479,14.0
480,29.0
481,18.0
482,24.0
483,13.0
484,27.0
485,20.0
486,12.0
