Episode,Total Reward
0,28.0
1,14.0
2,23.0
3,25.0
4,92.0
5,13.0
6,33.0
7,38.0
8,9.0
9,12.0
10,10.0
11,23.0
12,11.0
13,26.0
14,18.0
15,32.0
16,16.0
17,27.0
18,22.0
19,19.0
20,13.0
21,15.0
22,16.0
23,11.0
24,17.0
25,13.0
26,21.0
27,22.0
28,15.0
29,13.0
30,19.0
31,23.0
32,84.0
33,17.0
34,25.0
35,105.0
36,17.0
37,41.0
38,31.0
39,23.0
40,50.0
41,26.0
42,19.0
43,13.0
44,27.0
45,37.0
46,77.0
47,12.0
48,56.0
49,28.0
50,40.0
51,70.0
52,18.0
53,17.0
54,37.0
55,76.0
56,21.0
57,67.0
58,25.0
59,46.0
60,42.0
61,152.0
62,117.0
63,193.0
64,124.0
65,95.0
66,224.0
67,326.0
68,500.0
69,430.0
70,182.0
71,258.0
72,451.0
73,259.0
74,394.0
75,500.0
76,351.0
77,432.0
78,361.0
79,500.0
80,500.0
81,500.0
82,500.0
83,500.0
84,293.0
85,500.0
86,500.0
87,427.0
88,500.0
89,500.0
90,318.0
91,500.0
92,500.0
93,500.0
94,500.0
95,500.0
96,342.0
97,500.0
98,500.0
99,500.0
100,194.0
101,500.0
102,500.0
103,500.0
104,500.0
105,458.0
106,332.0
107,371.0
108,500.0
109,430.0
110,446.0
111,500.0
112,500.0
113,218.0
114,439.0
115,500.0
116,500.0
117,479.0
118,500.0
119,500.0
120,500.0
121,500.0
122,488.0
123,500.0
124,500.0
125,128.0
126,131.0
127,375.0
128,295.0
129,500.0
130,500.0
131,500.0
132,500.0
133,500.0
134,465.0
135,317.0
136,267.0
137,348.0
138,500.0
139,500.0
140,325.0
141,469.0
142,358.0
143,500.0
144,500.0
145,301.0
146,500.0
147,500.0
148,326.0
149,371.0
150,500.0
151,500.0
152,500.0
153,500.0
154,500.0
155,486.0
156,377.0
157,275.0
158,382.0
159,273.0
160,500.0
161,500.0
162,349.0
163,500.0
164,444.0
165,500.0
166,494.0
167,126.0
168,500.0
169,280.0
170,500.0
171,500.0
172,143.0
173,305.0
174,500.0
175,295.0
176,500.0
177,324.0
178,500.0
179,488.0
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,145.0
190,214.0
191,372.0
192,500.0
193,360.0
194,500.0
