Episode,Total Reward
0,23.0
1,32.0
2,18.0
3,48.0
4,25.0
5,19.0
6,33.0
7,17.0
8,13.0
9,28.0
10,16.0
11,14.0
12,13.0
13,26.0
14,12.0
15,55.0
16,29.0
17,46.0
18,19.0
19,17.0
20,33.0
21,32.0
22,20.0
23,23.0
24,18.0
25,16.0
26,22.0
27,27.0
28,17.0
29,45.0
30,14.0
31,13.0
32,22.0
33,16.0
34,22.0
35,18.0
36,13.0
37,18.0
38,12.0
39,26.0
40,42.0
41,12.0
42,11.0
43,26.0
44,8.0
45,25.0
46,18.0
47,37.0
48,17.0
49,20.0
50,15.0
51,15.0
52,11.0
53,21.0
54,29.0
55,15.0
56,12.0
57,14.0
58,22.0
59,19.0
60,21.0
61,25.0
62,33.0
63,24.0
64,27.0
65,20.0
66,76.0
67,22.0
68,107.0
69,27.0
70,48.0
71,33.0
72,23.0
73,106.0
74,34.0
75,66.0
76,45.0
77,33.0
78,122.0
79,120.0
80,94.0
81,58.0
82,45.0
83,202.0
84,46.0
85,81.0
86,131.0
87,37.0
88,126.0
89,147.0
90,82.0
91,196.0
92,93.0
93,46.0
94,298.0
95,60.0
96,82.0
97,162.0
98,110.0
99,172.0
100,56.0
101,123.0
102,163.0
103,192.0
104,168.0
105,125.0
106,179.0
107,297.0
108,129.0
109,132.0
110,153.0
111,175.0
112,134.0
113,108.0
114,259.0
115,357.0
116,140.0
117,143.0
118,331.0
119,147.0
120,368.0
121,135.0
122,170.0
123,426.0
124,83.0
125,132.0
126,500.0
127,137.0
128,264.0
129,173.0
130,161.0
131,220.0
132,264.0
133,301.0
134,319.0
135,500.0
136,154.0
137,164.0
138,291.0
139,250.0
140,184.0
141,141.0
142,391.0
143,365.0
144,287.0
145,133.0
146,128.0
147,146.0
148,126.0
149,171.0
150,118.0
151,113.0
152,158.0
153,145.0
154,141.0
155,153.0
156,153.0
157,303.0
158,142.0
159,156.0
160,266.0
161,178.0
162,122.0
163,152.0
164,197.0
165,368.0
166,199.0
167,143.0
168,142.0
169,236.0
170,228.0
171,121.0
172,129.0
173,149.0
174,239.0
175,227.0
176,201.0
177,285.0
178,405.0
179,133.0
180,414.0
181,175.0
182,232.0
183,140.0
184,418.0
185,167.0
186,118.0
187,175.0
188,240.0
189,209.0
190,132.0
191,226.0
192,151.0
193,176.0
194,267.0
195,149.0
196,263.0
197,202.0
198,118.0
199,494.0
200,277.0
201,125.0
202,131.0
203,399.0
204,122.0
205,242.0
206,164.0
207,288.0
208,309.0
209,407.0
210,338.0
211,223.0
212,206.0
213,430.0
214,194.0
215,357.0
216,196.0
217,370.0
218,165.0
219,131.0
220,118.0
221,161.0
222,143.0
223,385.0
224,152.0
225,345.0
226,288.0
227,233.0
228,128.0
229,291.0
230,310.0
231,310.0
232,286.0
233,336.0
234,174.0
235,171.0
236,201.0
237,500.0
238,500.0
239,343.0
240,124.0
241,115.0
242,219.0
243,166.0
244,442.0
245,244.0
246,163.0
247,311.0
248,267.0
249,135.0
250,115.0
251,272.0
252,135.0
253,411.0
254,177.0
255,150.0
256,200.0
257,271.0
258,144.0
259,148.0
260,150.0
261,159.0
262,129.0
263,184.0
264,176.0
265,169.0
266,159.0
267,268.0
268,140.0
269,330.0
270,121.0
271,155.0
272,210.0
273,110.0
274,167.0
275,116.0
276,165.0
277,183.0
278,143.0
279,304.0
280,286.0
281,158.0
282,276.0
283,130.0
284,158.0
285,201.0
286,224.0
287,149.0
288,379.0
289,143.0
290,267.0
291,209.0
292,77.0
293,118.0
294,171.0
295,179.0
296,112.0
297,173.0
298,125.0
299,139.0
300,104.0
301,438.0
302,192.0
303,150.0
304,145.0
305,121.0
306,246.0
307,185.0
308,205.0
309,121.0
310,153.0
311,191.0
312,123.0
313,133.0
314,171.0
315,223.0
316,103.0
317,205.0
318,146.0
319,157.0
320,257.0
321,151.0
322,187.0
323,164.0
324,188.0
325,197.0
326,243.0
327,119.0
328,130.0
329,142.0
330,105.0
331,160.0
332,132.0
333,270.0
334,180.0
335,118.0
336,137.0
337,143.0
338,143.0
339,121.0
340,139.0
341,121.0
342,267.0
343,119.0
344,87.0
345,109.0
346,147.0
347,323.0
348,128.0
349,250.0
350,337.0
351,161.0
352,143.0
353,133.0
354,104.0
355,170.0
356,128.0
357,59.0
358,136.0
359,118.0
360,125.0
361,135.0
362,98.0
363,107.0
364,61.0
365,81.0
366,125.0
367,174.0
368,124.0
369,150.0
370,112.0
371,111.0
372,117.0
373,158.0
374,309.0
375,133.0
376,163.0
377,143.0
378,161.0
379,108.0
380,155.0
381,150.0
382,143.0
383,209.0
384,124.0
385,155.0
386,149.0
387,230.0
388,168.0
389,170.0
390,208.0
391,183.0
392,111.0
393,151.0
394,175.0
395,112.0
396,160.0
397,111.0
398,139.0
399,113.0
400,156.0
401,179.0
402,127.0
403,194.0
404,143.0
405,191.0
406,141.0
407,179.0
408,257.0
409,168.0
410,84.0
411,101.0
412,173.0
413,150.0
414,228.0
415,150.0
416,183.0
417,106.0
418,138.0
419,176.0
420,242.0
421,95.0
422,69.0
423,149.0
424,111.0
425,125.0
426,138.0
427,90.0
428,73.0
429,305.0
430,226.0
431,203.0
432,130.0
433,174.0
434,113.0
435,488.0
436,103.0
437,187.0
438,142.0
439,137.0
440,135.0
441,157.0
442,205.0
443,142.0
444,48.0
445,61.0
446,127.0
447,74.0
448,137.0
449,133.0
450,123.0
451,99.0
452,201.0
453,213.0
454,115.0
455,120.0
456,80.0
457,78.0
458,201.0
459,226.0
460,237.0
461,249.0
462,212.0
463,176.0
464,110.0
465,179.0
466,88.0
467,51.0
468,99.0
469,153.0
470,51.0
471,79.0
472,150.0
473,190.0
474,240.0
475,202.0
476,134.0
477,181.0
478,120.0
479,330.0
480,227.0
481,109.0
482,139.0
483,129.0
484,171.0
485,195.0
486,126.0
487,179.0
488,227.0
489,146.0
490,182.0
491,164.0
492,197.0
493,254.0
494,164.0
495,157.0
496,114.0
497,104.0
498,54.0
499,207.0
500,135.0
501,172.0
502,196.0
503,354.0
504,138.0
505,132.0
506,338.0
507,144.0
508,433.0
509,206.0
510,108.0
511,164.0
512,169.0
513,135.0
514,367.0
515,193.0
516,249.0
517,119.0
518,90.0
519,106.0
520,121.0
521,381.0
522,56.0
523,121.0
524,107.0
525,146.0
526,166.0
527,107.0
528,200.0
529,188.0
530,146.0
531,123.0
532,203.0
533,112.0
534,83.0
535,119.0
536,118.0
537,152.0
538,119.0
539,143.0
540,173.0
541,140.0
542,134.0
543,128.0
544,154.0
545,340.0
546,204.0
547,151.0
548,58.0
549,141.0
550,140.0
551,118.0
552,128.0
553,78.0
554,141.0
555,144.0
556,123.0
557,76.0
558,48.0
559,75.0
560,105.0
561,102.0
562,65.0
563,152.0
564,50.0
565,113.0
566,133.0
567,115.0
568,179.0
569,161.0
570,193.0
571,122.0
572,126.0
573,207.0
574,81.0
575,122.0
576,44.0
577,106.0
578,137.0
579,108.0
580,146.0
581,162.0
582,154.0
583,110.0
584,172.0
585,170.0
586,500.0
587,138.0
588,169.0
589,309.0
590,114.0
591,146.0
592,169.0
593,97.0
594,309.0
595,89.0
596,151.0
597,128.0
598,396.0
599,221.0
600,234.0
601,154.0
602,106.0
603,99.0
604,268.0
605,185.0
606,114.0
607,80.0
608,88.0
609,145.0
610,165.0
611,82.0
612,106.0
613,306.0
614,223.0
615,221.0
616,110.0
617,123.0
618,149.0
619,195.0
620,63.0
621,125.0
622,93.0
623,116.0
624,284.0
625,148.0
626,195.0
627,148.0
628,114.0
629,138.0
630,291.0
631,297.0
632,133.0
633,145.0
634,140.0
635,86.0
636,146.0
637,129.0
