Episode,Total Reward
0,22.0
1,20.0
2,26.0
3,15.0
4,17.0
5,12.0
6,14.0
7,15.0
8,31.0
9,14.0
10,12.0
11,42.0
12,23.0
13,26.0
14,34.0
15,15.0
16,22.0
17,17.0
18,13.0
19,9.0
20,25.0
21,19.0
22,20.0
23,30.0
24,12.0
25,17.0
26,32.0
27,12.0
28,12.0
29,15.0
30,23.0
31,13.0
32,70.0
33,14.0
34,30.0
35,35.0
36,11.0
37,17.0
38,17.0
39,78.0
40,28.0
41,17.0
42,25.0
43,11.0
44,18.0
45,31.0
46,15.0
47,24.0
48,27.0
49,9.0
50,19.0
51,15.0
52,12.0
53,12.0
54,14.0
55,21.0
56,16.0
57,31.0
58,40.0
59,22.0
60,37.0
61,18.0
62,32.0
63,16.0
64,14.0
65,55.0
66,25.0
67,16.0
68,41.0
69,58.0
70,42.0
71,14.0
72,44.0
73,11.0
74,24.0
75,37.0
76,39.0
77,14.0
78,11.0
79,19.0
80,9.0
81,16.0
82,31.0
83,17.0
84,20.0
85,22.0
86,18.0
87,21.0
88,41.0
89,21.0
90,16.0
91,13.0
92,12.0
93,11.0
94,15.0
95,43.0
96,33.0
97,36.0
98,17.0
99,37.0
100,15.0
101,37.0
102,15.0
103,17.0
104,14.0
105,25.0
106,34.0
107,11.0
108,19.0
109,24.0
110,24.0
111,48.0
112,25.0
113,12.0
114,22.0
115,27.0
116,13.0
117,49.0
118,27.0
119,21.0
120,22.0
121,23.0
122,12.0
123,120.0
124,36.0
125,19.0
126,31.0
127,14.0
128,31.0
129,24.0
130,9.0
131,12.0
132,20.0
133,24.0
134,31.0
135,94.0
136,15.0
137,21.0
138,43.0
139,22.0
140,30.0
141,17.0
142,25.0
143,27.0
144,47.0
145,25.0
146,35.0
147,14.0
148,18.0
149,10.0
150,25.0
151,41.0
152,20.0
153,41.0
154,21.0
155,16.0
156,19.0
157,18.0
158,40.0
159,20.0
160,19.0
161,23.0
162,22.0
163,10.0
164,24.0
165,19.0
166,24.0
167,11.0
168,11.0
169,35.0
170,26.0
171,51.0
172,48.0
173,29.0
174,11.0
175,23.0
176,59.0
177,36.0
178,24.0
179,19.0
180,16.0
181,10.0
182,14.0
183,66.0
184,24.0
185,38.0
186,59.0
187,54.0
188,79.0
189,55.0
190,17.0
191,38.0
192,23.0
193,14.0
194,20.0
195,20.0
196,23.0
197,28.0
198,23.0
199,15.0
200,35.0
201,16.0
202,15.0
203,12.0
204,19.0
205,14.0
206,19.0
207,27.0
208,27.0
209,13.0
210,42.0
211,12.0
212,12.0
213,24.0
214,11.0
215,16.0
216,19.0
217,38.0
218,24.0
219,17.0
220,17.0
221,20.0
222,23.0
223,12.0
224,19.0
225,45.0
226,18.0
227,12.0
228,39.0
229,39.0
230,27.0
231,23.0
232,20.0
233,18.0
234,14.0
235,12.0
236,12.0
237,34.0
238,27.0
239,24.0
240,40.0
241,22.0
242,19.0
243,26.0
244,21.0
245,13.0
246,46.0
247,8.0
248,23.0
249,59.0
250,15.0
251,27.0
252,25.0
253,21.0
254,19.0
255,37.0
256,79.0
257,35.0
258,25.0
259,14.0
260,21.0
261,96.0
262,22.0
263,17.0
264,22.0
265,21.0
266,23.0
267,19.0
268,47.0
269,27.0
270,38.0
271,14.0
272,26.0
273,33.0
274,17.0
275,19.0
276,26.0
277,21.0
278,22.0
279,14.0
280,21.0
281,23.0
282,20.0
283,29.0
284,48.0
285,13.0
286,56.0
287,27.0
288,14.0
289,31.0
290,13.0
291,20.0
292,16.0
293,17.0
294,31.0
295,14.0
296,34.0
297,33.0
298,40.0
299,99.0
300,39.0
301,34.0
302,16.0
303,15.0
304,11.0
305,21.0
306,33.0
307,14.0
308,65.0
309,17.0
310,17.0
311,58.0
312,47.0
313,24.0
314,22.0
315,94.0
